hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
GCF_049384865.1|NZ_JAIWIW010000001.1|NZ_JAIWIW010000001.1_1319	clust_rep_seq	1792	218	DRT9__SLATT	7.5e-14	51.0	0.899	0.844	2	185
GCF_049384865.1|NZ_JAIWIW010000001.1|NZ_JAIWIW010000001.1_1319	clust_rep_seq	1792	218	DRT_3__SLATT	6.8e-29	100.1	0.95	0.867	2	190
GCF_022869905.1|NZ_CP064381.1|NZ_CP064381.1_526	clust_rep_seq	1804	399	Rugutis__Rugutis	1.1000000000000002e-34	119.8	0.787	0.82	14	340
GCF_023151555.2|NZ_CP100425.1|NZ_CP100425.1_1887	clust_rep_seq	1811	165	VP1817__VP1817	8.3e-49	164.9	0.993	0.945	1	156
GCF_023205895.1|NZ_CP064033.1|NZ_CP064033.1_1186	clust_rep_seq	1821	440	Retron_I_A__ATPase_TypeIA	1.5e-22	79.9	0.8	0.882	25	412
GCF_023205895.1|NZ_CP064033.1|NZ_CP064033.1_1186	clust_rep_seq	1821	440	Paris_II__AriA_AAA21	1.1e-24	87.0	0.773	0.716	28	342
GCF_023205895.1|NZ_CP064033.1|NZ_CP064033.1_1186	clust_rep_seq	1821	440	Septu__PtuA_2	4.4e-32	110.9	0.484	0.759	12	345
GCF_023205895.1|NZ_CP064033.1|NZ_CP064033.1_1186	clust_rep_seq	1821	440	Septu__PtuA	1.1e-55	189.7	0.89	0.93	16	424
GCF_023205895.1|NZ_CP064033.1|NZ_CP064033.1_1187	clust_rep_seq	1822	218	Septu__PtuB	1.2e-28	100.4	0.626	0.734	26	185
GCF_023205895.1|NZ_CP064033.1|NZ_CP064033.1_1210	clust_rep_seq	1826	340	Rst_2TM_1TM_TIR__Rst_TIR_tm	1.8000000000000002e-116	388.4	0.966	0.926	1	315
GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_157	clust_rep_seq	1844	370	RosmerTA__RmrA_2641389401	7.9e-09	34.4	0.596	0.616	132	359
GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_157	clust_rep_seq	1844	370	RosmerTA__RmrA_2734955840	3.5e-11	42.3	0.916	0.962	5	360
GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_157	clust_rep_seq	1844	370	RosmerTA__RmrA_2753529055	2.2e-11	42.8	0.767	0.846	5	317
GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_157	clust_rep_seq	1844	370	RosmerTA__RmrA_2585209417	5.2e-13	48.2	0.727	0.765	14	296
GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_157	clust_rep_seq	1844	370	RosmerTA__RmrA_2664250653	4.1e-16	58.2	0.884	0.943	7	355
GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_157	clust_rep_seq	1844	370	RosmerTA__RmrA_2634882613	3.7e-16	58.4	0.846	0.9	5	337
GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_157	clust_rep_seq	1844	370	RosmerTA__RmrA_2617826694	2.5e-17	62.1	0.941	0.962	6	361
GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_157	clust_rep_seq	1844	370	RosmerTA__RmrA_2662548665	6.7e-19	67.5	0.875	0.959	5	359
GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_157	clust_rep_seq	1844	370	RosmerTA__RmrA_2623274509	2.3e-19	68.8	0.916	0.957	4	357
GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_157	clust_rep_seq	1844	370	RosmerTA__RmrA_2600853143	1.1000000000000001e-20	73.4	0.797	0.849	2	315
GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_157	clust_rep_seq	1844	370	RosmerTA__RmrA_2677172838	4.2e-21	74.7	0.808	0.843	6	317
GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_157	clust_rep_seq	1844	370	RosmerTA__RmrA_2634932349	4.1e-24	84.5	0.923	0.965	9	365
GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_161	clust_rep_seq	1847	353	Menshen__NsnA	5.5000000000000005e-36	124.0	0.834	0.941	20	351
GCF_023277445.1|NZ_CP080238.1|NZ_CP080238.1_162	clust_rep_seq	1848	274	Aristaios__Aristaios	1.6e-48	165.4	0.614	0.993	1	272
GCF_024442215.1|NZ_CP050475.1|NZ_CP050475.1_2669	clust_rep_seq	1930	180	DS-15__DS-15B	1.4e-16	60.1	0.856	0.589	72	177
GCF_024442215.1|NZ_CP050476.1|NZ_CP050476.1_528	clust_rep_seq	1933	321	Dpd__DpdB	1.8e-08	32.8	0.422	0.47	3	153
GCF_024582835.1|NZ_CP102097.1|NZ_CP102097.1_968	clust_rep_seq	1955	225	RM_Type_IV__Type_IV_05	5.4e-21	75.2	0.469	0.484	104	212
GCF_025994915.1|NZ_AP026552.1|NZ_AP026552.1_1334	clust_rep_seq	1980	152	VP1817__VP1817	8e-49	165.0	0.993	0.941	1	143
GCF_026000435.1|NZ_AP026763.1|NZ_AP026763.1_1178	clust_rep_seq	1986	334	Belisama__VCA0458	4.9e-35	120.4	0.756	0.653	95	312
GCF_038695265.1|NZ_CP152308.1|NZ_CP152308.1_505	clust_rep_seq	2026	372	Rugutis__Rugutis	5.9999999999999996e-114	380.7	0.888	0.981	5	369
GCF_039602145.1|NZ_CP142015.1|NZ_CP142015.1_854	clust_rep_seq	2031	244	RM_Type_IV__Type_IV_05	1.7e-21	76.9	0.465	0.689	61	228
GCF_039602145.1|NZ_CP142015.1|NZ_CP142015.1_854	clust_rep_seq	2031	244	EcoKMcrA__EcoKMcrA	1.2e-33	116.5	0.438	0.754	58	241
GCF_039602145.1|NZ_CP142015.1|NZ_CP142015.1_921	clust_rep_seq	2036	278	AbiAlpha__AbiAlpha	6.7e-54	182.3	1.0	0.683	81	270
GCF_040254425.1|NZ_CP158305.1|NZ_CP158305.1_1737	clust_rep_seq	2056	280	EcoKMcrA__EcoKMcrA	4.6e-29	101.5	0.432	0.65	89	270
GCF_040735825.1|NZ_CP147727.1|NZ_CP147727.1_393	clust_rep_seq	2070	334	Aristaios__Aristaios	8.8e-19	67.7	0.536	0.937	5	317
GCF_040869035.2|NZ_CP162101.2|NZ_CP162101.2_299	clust_rep_seq	2095	240	RM_Type_II__Type_II_REase19	3.3e-17	62.5	0.453	0.583	99	238
GCF_040869035.2|NZ_CP162101.2|NZ_CP162101.2_299	clust_rep_seq	2095	240	VcaM4I__VcaM4I	4.9e-64	216.6	0.512	0.771	55	239
GCF_040869035.2|NZ_CP162101.2|NZ_CP162101.2_301	clust_rep_seq	2097	250	Aristaios__Aristaios	1.7e-26	93.0	0.614	0.924	12	242
GCF_053202865.1|NZ_CM129926.1|NZ_CM129926.1_529	clust_rep_seq	2111	150	PD-Lambda-3__PD-Lambda-3_A	2.6e-45	153.6	0.874	0.927	2	140
GCF_053202865.1|NZ_CM129926.1|NZ_CM129926.1_555	clust_rep_seq	2118	521	Menshen__NsnB	6.4e-39	134.1	0.954	0.99	3	518
GCF_053220475.1|NZ_CM129938.1|NZ_CM129938.1_502	clust_rep_seq	2121	373	RM_Type_IV__Type_IV_03	9.1e-23	81.1	0.865	0.759	80	362
GCF_053220475.1|NZ_CM129938.1|NZ_CM129938.1_506	clust_rep_seq	2122	246	VcaM4I__VcaM4I	5.299999999999999e-59	200.0	0.534	0.732	66	245
GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_795	clust_rep_seq	2142	232	AbiAlpha__AbiAlpha	9.9e-15	54.5	0.617	0.483	91	202
GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_802	clust_rep_seq	2144	163	Esos__VCA0450	5.6e-17	61.8	0.417	0.877	18	160
GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_835	clust_rep_seq	2146	210	Aristaios__Aristaios	9.6e-16	57.7	0.583	0.919	8	200
GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_869	clust_rep_seq	2151	214	DarTG__DarT	1e-18	67.4	0.92	0.804	21	192
GCF_053890595.1|NZ_CM132683.1|NZ_CM132683.1_703	clust_rep_seq	2157	281	CBASS__Endonuc_small	2e-19	69.8	0.51	0.452	17	143
GCF_053890595.1|NZ_CM132683.1|NZ_CM132683.1_703	clust_rep_seq	2157	281	PD_DExK_I_II_III_IV_V_VI_5	1.2e-35	121.4	0.984	0.459	15	143
GCF_054850435.1|NZ_CM141453.1|NZ_CM141453.1_1210	clust_rep_seq	2197	251	CBASS__Endonuc_small	3.9e-17	62.3	0.452	0.45	11	123
GCF_054850435.1|NZ_CM141453.1|NZ_CM141453.1_1210	clust_rep_seq	2197	251	PD_DExK_I_II_III_IV_V_VI_5	4.3000000000000005e-26	90.4	0.906	0.474	7	125
GCF_058545285.1|NZ_CM178589.1|NZ_CM178589.1_288	clust_rep_seq	2221	272	Aristaios__Aristaios	2.4e-49	168.1	0.595	0.982	1	267
GCF_058545285.1|NZ_CM178590.1|NZ_CM178590.1_706	clust_rep_seq	2231	208	DarTG__DarT	6.9e-59	198.5	1.0	0.952	11	208
GCF_059427945.1|NZ_CM182084.1|NZ_CM182084.1_1764	clust_rep_seq	2234	281	VcaM4I__VcaM4I	6.599999999999999e-67	226.0	0.54	0.68	89	279
GCF_059772125.1|NZ_CM186276.1|NZ_CM186276.1_864	clust_rep_seq	2273	253	Aristaios__Aristaios	2.9e-48	164.5	0.611	0.945	8	246
GCF_059941605.1|NZ_CM188127.1|NZ_CM188127.1_2198	clust_rep_seq	2284	367	Rugutis__Rugutis	1.2e-107	360.0	0.83	0.913	3	337
GCF_059941605.1|NZ_CM188127.1|NZ_CM188127.1_2275	clust_rep_seq	2295	214	Hachiman_II__HamC	7.7e-39	133.6	0.893	0.981	2	211
GCF_011801435.1|NZ_CP042449.1|NZ_CP042449.1_1360	clust_rep_seq	2340	354	Shedu__SduA	4.9e-48	164.1	0.777	0.836	50	345
GCF_013357625.1|NZ_CP053797.1|NZ_CP053797.1_260	clust_rep_seq	2363	205	PD-T4-10__PD-T4-10_B	1.2e-14	54.2	0.559	0.966	7	204
GCF_013357725.1|NZ_CP053805.1|NZ_CP053805.1_309	clust_rep_seq	2381	133	Lugos__Lugos	6.8e-26	90.1	0.781	0.992	1	132
GCF_013357725.1|NZ_CP053805.1|NZ_CP053805.1_336	clust_rep_seq	2390	288	PD-T7-5__PD-T7-5	7.300000000000001e-42	143.0	0.653	0.83	1	239
GCF_013357725.1|NZ_CP053805.1|NZ_CP053805.1_344	clust_rep_seq	2393	147	VP1817__VP1817	1e-18	67.2	0.841	0.878	18	146
GCF_013357725.1|NZ_CP053805.1|NZ_CP053805.1_369	clust_rep_seq	2399	167	AbiA_small__AbiA_SLATT	1.1e-09	37.7	0.644	0.749	3	127
GCF_013357725.1|NZ_CP053805.1|NZ_CP053805.1_369	clust_rep_seq	2399	167	DRT9__SLATT	2e-12	46.4	0.591	0.701	13	129
GCF_013357725.1|NZ_CP053805.1|NZ_CP053805.1_369	clust_rep_seq	2399	167	AbiA_small__SLATT	3.7e-14	52.3	0.712	0.826	8	145
GCF_013357725.1|NZ_CP053805.1|NZ_CP053805.1_369	clust_rep_seq	2399	167	DRT_3__SLATT	4.5e-36	123.5	0.745	0.964	5	165
GCF_000196095.1|NC_004603.1|NC_004603.1_1701	clust_rep_seq	2404	275	VP1796__VP1796	9.3e-118	392.0	0.985	0.964	10	274
GCF_000196095.1|NC_004603.1|NC_004603.1_1701	clust_rep_seq	2404	275	Dag__Dag2_VP1796	4.3e-127	423.0	0.873	0.975	5	272
GCF_000217675.1|NC_015637.1|NC_015637.1_885	clust_rep_seq	2426	278	PD-T2-1__PD-T2-1B	1.8e-43	148.5	0.82	0.842	2	235
GCF_000328405.1|NC_019955.1|NC_019955.1_1641	clust_rep_seq	2444	283	CBASS__Effector_TIR	1.3999999999999999e-39	135.6	0.444	0.576	2	164
GCF_002204915.1|NZ_CP016321.1|NZ_CP016321.1_1518	clust_rep_seq	2520	310	SEFIR__bSEFIR	1.6e-80	271.3	0.704	0.958	2	298
GCF_002204915.1|NZ_CP016321.1|NZ_CP016321.1_1522	clust_rep_seq	2523	148	Lugos__Lugos	1.2e-24	86.0	0.762	0.986	1	146
GCF_002211985.1|NZ_CP022102.1|NZ_CP022102.1_363	clust_rep_seq	2547	277	AbiH__AbiH	3.2e-42	144.8	0.958	0.866	4	243
GCF_002211985.1|NZ_CP022102.1|NZ_CP022102.1_479	clust_rep_seq	2549	238	Dag__Dag5	9.000000000000001e-26	90.5	0.97	0.987	4	238
GCF_002212005.1|NZ_CP022100.1|NZ_CP022100.1_588	clust_rep_seq	2575	577	Retron_I_A__ATPase_TypeIA	6.3e-15	54.7	0.725	0.64	1	369
GCF_002212005.1|NZ_CP022100.1|NZ_CP022100.1_588	clust_rep_seq	2575	577	Paris_II__AriA_AAA21	1.1e-19	70.6	0.844	0.619	1	357
GCF_002212005.1|NZ_CP022100.1|NZ_CP022100.1_588	clust_rep_seq	2575	577	Septu__PtuA	2.7000000000000002e-30	106.1	0.791	0.65	1	375
GCF_002212005.1|NZ_CP022100.1|NZ_CP022100.1_588	clust_rep_seq	2575	577	Gabija__GajA	5.4e-40	137.3	0.763	0.841	1	485
GCF_003612695.1|NZ_CP023472.1|NZ_CP023472.1_1812	clust_rep_seq	2603	385	Aristaios__Aristaios	1.8e-39	135.7	0.595	0.875	1	337
GCF_003612695.1|NZ_CP023472.1|NZ_CP023472.1_1842	clust_rep_seq	2611	268	Aristaios__Aristaios	1.1e-38	133.0	0.595	0.914	1	245
GCF_003691485.1|NZ_CP033134.1|NZ_CP033134.1_1795	clust_rep_seq	2621	236	CBASS__Endonuc_small	4.7e-14	52.2	0.867	0.894	10	220
GCF_003691485.1|NZ_CP033134.1|NZ_CP033134.1_1795	clust_rep_seq	2621	236	PD_DExK_I_II_III_IV_V_VI_5	5.2e-26	90.2	0.976	0.517	2	123
GCF_003691525.1|NZ_CP033141.1|NZ_CP033141.1_1297	clust_rep_seq	2655	214	Retron_I_A__HNH_TIGR02646	5.2e-12	45.5	0.547	0.621	47	179
GCF_003691525.1|NZ_CP033141.1|NZ_CP033141.1_1297	clust_rep_seq	2655	214	Septu__PtuB	3.2e-23	82.7	0.612	0.734	42	198
GCF_003691525.1|NZ_CP033141.1|NZ_CP033141.1_1298	clust_rep_seq	2656	272	DS-6__DS-6A	2.9e-34	118.6	0.631	0.963	1	262
GCF_004194515.1|NZ_CP034565.1|NZ_CP034565.1_1649	clust_rep_seq	2668	416	Paris_II__AriA_AAA21	6.7e-15	54.8	0.819	0.861	1	358
GCF_004328575.1|NZ_CP036500.1|NZ_CP036500.1_375	clust_rep_seq	2682	115	Retron_VII_2__DUF3800	0.00045	20.4	0.417	0.365	19	60
GCF_009764005.1|NZ_CP046824.1|NZ_CP046824.1_880	clust_rep_seq	2714	122	DRT_3__SLATT	8.7e-18	63.8	0.53	0.885	1	108
GCF_009764025.1|NZ_CP046847.1|NZ_CP046847.1_480	clust_rep_seq	2734	152	Nantosuelta__VCA0322	6.2e-31	107.2	0.54	0.941	3	145
GCF_009764055.1|NZ_CP046831.1|NZ_CP046831.1_1702	clust_rep_seq	2760	231	Sirona__VCA0356	5.8e-85	284.5	0.805	0.987	2	229
GCF_009883815.1|NZ_CP034285.1|NZ_CP034285.1_1213	clust_rep_seq	2788	612	dCTPdeaminase__dCTPdeaminase	1.1e-123	413.1	0.986	0.972	3	597
GCF_009938205.1|NZ_AP019654.1|NZ_AP019654.1_1292	clust_rep_seq	2800	483	RT_I_II_III_IV_V_VI_1	2.1e-24	85.5	0.734	0.422	225	428
GCF_009938205.1|NZ_AP019654.1|NZ_AP019654.1_1292	clust_rep_seq	2800	483	Retron__RT_Tot_12	5.2000000000000004e-30	104.5	0.796	0.518	184	433
GCF_009938205.1|NZ_AP019654.1|NZ_AP019654.1_1292	clust_rep_seq	2800	483	Retron__RT_Tot_3	5.2e-33	114.1	0.715	0.497	206	445
GCF_009938205.1|NZ_AP019654.1|NZ_AP019654.1_1292	clust_rep_seq	2800	483	Retron__RT_Tot_2	1.7e-39	135.3	0.729	0.455	220	439
GCF_009938205.1|NZ_AP019654.1|NZ_AP019654.1_1292	clust_rep_seq	2800	483	Retron__RT_Tot_9	1.7e-40	138.7	0.683	0.532	186	442
GCF_009938205.1|NZ_AP019654.1|NZ_AP019654.1_1292	clust_rep_seq	2800	483	Retron__RT_Tot_11	1.1999999999999999e-41	142.4	0.66	0.46	211	432
GCF_009938205.1|NZ_AP019654.1|NZ_AP019654.1_1292	clust_rep_seq	2800	483	Retron__RT_Tot_1	8.3e-51	172.5	0.91	0.559	188	457
GCF_009938205.1|NZ_AP019654.1|NZ_AP019654.1_1292	clust_rep_seq	2800	483	Retron__RT_Tot_15	1.1e-52	179.4	0.42	0.516	208	456
GCF_009938205.1|NZ_AP019654.1|NZ_AP019654.1_1292	clust_rep_seq	2800	483	Retron__RT_Tot_13	7e-54	182.4	0.844	0.565	186	458
GCF_009938205.1|NZ_AP019654.1|NZ_AP019654.1_1292	clust_rep_seq	2800	483	Retron__RT_Tot_14	1.8e-54	184.4	0.875	0.526	186	439
GCF_009938205.1|NZ_AP019654.1|NZ_AP019654.1_1292	clust_rep_seq	2800	483	Retron__RT_Tot_10	1.9e-62	210.9	0.855	0.571	186	461
GCF_009938205.1|NZ_AP019654.1|NZ_AP019654.1_1292	clust_rep_seq	2800	483	Retron__RT_Tot_4	1.1000000000000001e-63	214.8	0.907	0.561	188	458
GCF_009938205.1|NZ_AP019654.1|NZ_AP019654.1_1292	clust_rep_seq	2800	483	Retron__RT_Tot_6	1.0999999999999999e-67	227.8	0.849	0.573	186	462
GCF_009938205.1|NZ_AP019654.1|NZ_AP019654.1_1292	clust_rep_seq	2800	483	Retron__RT_Tot_7	6.1e-75	252.0	0.653	0.518	188	437
GCF_009938205.1|NZ_AP019654.1|NZ_AP019654.1_1292	clust_rep_seq	2800	483	Retron__RT_Tot_5	1.6e-213	709.1	0.996	0.996	1	481
GCF_021391375.1|NZ_CP090020.1|NZ_CP090020.1_356	clust_rep_seq	2806	173	VP1839__VP1839	1.6e-57	193.5	0.844	0.913	1	158
GCF_021432065.1|NZ_CP090365.1|NZ_CP090365.1_277	clust_rep_seq	2828	323	Aristaios__Aristaios	4.5e-51	173.8	0.648	0.851	6	280
GCF_021441885.1|NZ_CP090438.1|NZ_CP090438.1_1404	clust_rep_seq	2830	376	Retron_VII_2__DUF3800	3e-07	30.6	0.991	0.795	9	307
GCF_022453845.1|NZ_CP092682.1|NZ_CP092682.1_1282	clust_rep_seq	2878	119	Cernunnos__VCA0410	5.2e-40	136.1	0.657	0.975	2	117
GCF_026970915.1|NZ_CP114194.1|NZ_CP114194.1_1798	clust_rep_seq	2902	306	CBASS__Endonuc_small	1.2e-13	50.9	0.419	0.33	35	135
GCF_026970915.1|NZ_CP114194.1|NZ_CP114194.1_1798	clust_rep_seq	2902	306	PD_DExK_I_II_III_IV_V_VI_5	1.1e-33	115.0	0.819	0.34	31	134
GCF_026970915.1|NZ_CP114194.1|NZ_CP114194.1_1798	clust_rep_seq	2902	306	Damona__VCA0399	7.1e-82	274.3	0.979	0.984	1	301
GCF_028743655.1|NZ_CP117989.1|NZ_CP117989.1_1182	clust_rep_seq	2940	307	FS_GIY_YIG__GIY_YIG	1.4e-44	152.1	0.934	0.967	9	305
GCF_028898625.1|NZ_CP118577.1|NZ_CP118577.1_658	clust_rep_seq	2962	370	Menshen__NsnA	5.8e-36	124.0	0.592	0.603	16	238
GCF_028898625.1|NZ_CP118577.1|NZ_CP118577.1_673	clust_rep_seq	2968	257	Aristaios__Aristaios	9.3e-46	156.3	0.592	0.973	4	253
GCF_037101305.1|NZ_AP028806.1|NZ_AP028806.1_356	clust_rep_seq	3002	191	FS_HEPN_TM__TM	7.1e-05	22.1	0.526	0.508	8	104
GCF_039542195.1|NZ_CP154264.1|NZ_CP154264.1_1917	clust_rep_seq	3009	199	Retron_I_A__HNH_TIGR02646	9.8e-16	57.7	0.658	0.879	5	179
GCF_039542195.1|NZ_CP154264.1|NZ_CP154264.1_1917	clust_rep_seq	3009	199	Septu__PtuB	3.5e-24	85.8	0.598	0.809	15	175
GCF_039542195.1|NZ_CP154264.1|NZ_CP154264.1_1918	clust_rep_seq	3010	351	Septu__PtuA	1.2999999999999999e-27	97.2	0.421	0.473	151	316
GCF_041734175.1|NZ_CP168658.1|NZ_CP168658.1_941	clust_rep_seq	3095	300	Resolvase_DUF5677__Resolvase_DUF5677	7.4e-09	34.8	0.588	0.487	64	209
GCF_053220535.1|NZ_CM129944.1|NZ_CM129944.1_984	clust_rep_seq	3111	398	Rugutis__Rugutis	5.4999999999999994e-114	380.9	0.86	0.882	20	370
GCF_053220535.1|NZ_CM129944.1|NZ_CM129944.1_1016	clust_rep_seq	3119	388	Thoeris__ThsB_acc	3.7e-53	179.6	0.856	0.972	1	377
GCF_053220535.1|NZ_CM129944.1|NZ_CM129944.1_1035	clust_rep_seq	3123	270	AbiAlpha__AbiAlpha	1.6e-36	125.6	1.0	0.696	78	265
GCF_054053395.1|NZ_CM133231.1|NZ_CM133231.1_468	clust_rep_seq	3156	380	Retron_VII_2__DUF3800	1.2e-11	44.8	0.981	0.758	7	294
GCF_054512795.1|NZ_JBTNLO010000004.1|NZ_JBTNLO010000004.1_45	clust_rep_seq	3170	256	Aristaios__Aristaios	7.600000000000001e-57	192.7	0.604	0.988	2	254
GCF_058315275.1|NZ_CM177759.1|NZ_CM177759.1_1707	clust_rep_seq	3203	310	CBASS__Endonuc_small	4.1e-17	62.2	0.822	0.629	2	196
GCF_058315275.1|NZ_CM177759.1|NZ_CM177759.1_1707	clust_rep_seq	3203	310	PD_DExK_I_II_III_IV_V_VI_5	1.4e-23	82.3	0.984	0.4	3	126
GCF_059552575.1|NZ_CM183915.1|NZ_CM183915.1_1910	clust_rep_seq	3226	267	Aristaios__Aristaios	6.3e-26	91.1	0.564	0.959	4	259
GCF_059552575.1|NZ_JCANWL010000003.1|NZ_JCANWL010000003.1_158	clust_rep_seq	3240	249	CBASS__Cyclase_SMODS	1.9e-06	27.7	0.701	0.43	43	149
GCF_059552575.1|NZ_JCANWL010000003.1|NZ_JCANWL010000003.1_158	clust_rep_seq	3240	249	CBASS__Cyclase_II	4e-07	29.0	0.68	0.775	44	236
GCF_059641075.1|NZ_CM184931.1|NZ_CM184931.1_2240	clust_rep_seq	3255	349	Aristaios__Aristaios	1.4e-32	113.1	0.567	0.96	2	336
GCF_059772125.1|NZ_CM186276.1|NZ_CM186276.1_934	clust_rep_seq	3273	212	Thoeris__ThsK_Ion_channel	1.1e-77	260.1	0.991	0.972	1	206
GCF_059772125.1|NZ_CM186276.1|NZ_CM186276.1_935	clust_rep_seq	3274	172	Thoeris__ThsB_3	5.9e-49	165.7	0.994	1.0	1	172
GCF_059772125.1|NZ_CM186276.1|NZ_CM186276.1_948	clust_rep_seq	3279	254	CBASS__Effector_TIR	1.7000000000000002e-32	112.3	0.491	0.713	3	183
GCF_009938185.1|NZ_AP019652.1|NZ_AP019652.1_817	clust_rep_seq	3314	148	PD-T7-4__PD-T7-4	5.7e-60	201.9	0.676	0.98	2	146
GCF_009938205.1|NZ_AP019654.1|NZ_AP019654.1_1291	clust_rep_seq	3320	219	Retron_II__NDT2	1.4e-86	289.3	0.987	0.995	1	218
GCF_013357685.1|NZ_CP053803.1|NZ_CP053803.1_316	clust_rep_seq	3353	269	Rst_2TM_1TM_TIR__Rst_TIR_tm	1.9e-56	191.5	0.724	0.77	1	207
GCF_013357725.1|NZ_CP053805.1|NZ_CP053805.1_562	clust_rep_seq	3359	512	RT_I_II_III_IV_V_VI_1	8.4e-21	73.7	0.801	0.475	37	279
GCF_013357725.1|NZ_CP053805.1|NZ_CP053805.1_562	clust_rep_seq	3359	512	DRT8__DRT8	1.8000000000000003e-156	521.5	0.985	0.992	3	510
GCF_013357725.1|NZ_CP053805.1|NZ_CP053805.1_562	clust_rep_seq	3359	512	DRT8__DRT8a	1.6e-169	565.0	0.925	0.992	3	510
GCF_013357725.1|NZ_CP053805.1|NZ_CP053805.1_578	clust_rep_seq	3364	618	Paris_II__AriA_AAA21	9.999999999999999e-23	80.6	0.821	0.539	23	355
GCF_013357725.1|NZ_CP053805.1|NZ_CP053805.1_578	clust_rep_seq	3364	618	Septu__PtuA	2.5999999999999998e-27	96.2	0.715	0.549	26	364
GCF_013357745.1|NZ_CP053807.1|NZ_CP053807.1_266	clust_rep_seq	3366	210	Thoeris__ThsK_Ion_channel	7.300000000000001e-87	290.1	0.995	0.99	1	208
GCF_013357745.1|NZ_CP053807.1|NZ_CP053807.1_267	clust_rep_seq	3367	163	Thoeris__ThsB_3	2.1999999999999997e-47	160.5	0.899	0.92	1	150
GCF_013357745.1|NZ_CP053807.1|NZ_CP053807.1_412	clust_rep_seq	3375	255	AbiH__AbiH	6.499999999999999e-47	160.2	0.886	0.918	22	255
GCF_013357825.1|NZ_CP053823.1|NZ_CP053823.1_417	clust_rep_seq	3387	609	Gabija__GajA	1.5e-34	119.4	0.759	0.89	3	544
GCF_013357825.1|NZ_CP053823.1|NZ_CP053823.1_464	clust_rep_seq	3396	335	mEp332_T2SS_GspM__T2SS_GspM	5.9e-51	173.0	0.971	0.964	6	328
GCF_013357825.1|NZ_CP053823.1|NZ_CP053823.1_486	clust_rep_seq	3399	141	Lugos__Lugos	1.6e-33	114.9	0.831	0.979	1	138
GCF_018140575.1|NZ_CP073274.1|NZ_CP073274.1_1229	clust_rep_seq	3418	206	Aristaios__Aristaios	3.6e-39	134.7	0.564	0.99	1	204
GCF_018336415.1|NZ_CP047306.1|NZ_CP047306.1_313	clust_rep_seq	3420	232	Sirona__VCA0356	2.6e-91	305.3	0.809	0.978	5	231
GCF_019458465.1|NZ_CP080463.1|NZ_CP080463.1_191	clust_rep_seq	3432	307	Shedu__SduA	3.5e-59	200.8	0.602	0.697	89	302
GCF_019458465.1|NZ_CP080463.1|NZ_CP080463.1_199	clust_rep_seq	3433	220	DS-45__DS-45	9.8e-87	289.8	0.952	0.986	2	218
GCF_020717785.1|NZ_CP085843.1|NZ_CP085843.1_1642	clust_rep_seq	3446	326	FS_GIY_YIG__GIY_YIG	3.6e-58	196.8	0.934	0.979	5	323
GCF_024971935.1|NZ_CP080098.1|NZ_CP080098.1_2767	clust_rep_seq	3478	241	RM_Type_II__Type_II_REase19	1.1e-10	41.0	0.411	0.614	11	158
GCF_025258925.1|NZ_CP104355.1|NZ_CP104355.1_496	clust_rep_seq	3490	285	Retron_VII_2__DUF3800	1.6e-13	50.8	0.991	0.744	3	214
GCF_025258925.1|NZ_CP104355.1|NZ_CP104355.1_525	clust_rep_seq	3493	483	DS-20__DS-20	1.2e-176	587.8	0.984	0.99	5	482
GCF_025258925.1|NZ_CP104355.1|NZ_CP104355.1_534	clust_rep_seq	3495	385	Paris_II__AriA_AAA21	3.8999999999999995e-22	78.7	0.798	0.795	1	306
GCF_025258925.1|NZ_CP104355.1|NZ_CP104355.1_534	clust_rep_seq	3495	385	Septu__PtuA	8.700000000000001e-56	190.1	0.862	0.966	1	372
GCF_025258925.1|NZ_CP104355.1|NZ_CP104355.1_535	clust_rep_seq	3496	193	Ambrosia__AbrD	9.7e-14	51.1	0.791	0.808	20	175
GCF_025258925.1|NZ_CP104355.1|NZ_CP104355.1_535	clust_rep_seq	3496	193	Retron_I_A__HNH_TIGR02646	3.4e-24	85.3	0.684	0.772	26	174
GCF_025258925.1|NZ_CP104355.1|NZ_CP104355.1_535	clust_rep_seq	3496	193	Septu__PtuB	7.5e-39	133.8	0.79	0.855	16	180
