accession,replicon,integron,type,intI,attC,cassettes,start,end,span_kb
GCF_002874615.2,NZ_CP170017.1,integron_02,complete,yes,6,5,550641,568444,17.8
GCF_002874615.2,NZ_CP170018.1,integron_01,CALIN,no,3,2,1197331,1202962,5.6
GCF_002874845.2,NZ_CP170009.1,integron_01,CALIN,no,5,4,173619,180546,6.9
GCF_002874845.2,NZ_CP170009.1,integron_02,complete,yes,14,13,489003,511132,22.1
GCF_002874845.2,NZ_CP170009.1,integron_03,CALIN,no,4,3,685107,688781,3.7
GCF_002874845.2,NZ_CP170010.1,integron_01,CALIN,no,2,1,257896,260428,2.5
GCF_002874905.2,NZ_CP170007.1,integron_01,complete,yes,7,6,1996367,2003301,6.9
GCF_002874905.2,NZ_CP170008.1,integron_01,CALIN,no,4,3,1233642,1237654,4.0
GCF_002874945.2,,,none,no,0,0,0,0,0
GCF_002875015.2,NZ_CP170046.1,integron_01,CALIN,no,4,3,2083549,2087778,4.2
GCF_002875015.2,NZ_CP170046.1,integron_02,complete,yes,10,9,2409955,2426803,16.8
GCF_002875015.2,NZ_CP170046.1,integron_03,CALIN,no,4,3,2603707,2607382,3.7
GCF_002875015.2,NZ_CP170047.1,integron_01,CALIN,no,2,1,1212940,1214876,1.9
GCF_002875015.2,NZ_CP170047.1,integron_02,CALIN,no,3,2,1370728,1375705,5.0
GCF_002875465.2,NZ_CP170034.1,integron_01,complete,yes,4,3,2203291,2209896,6.6
GCF_002875465.2,NZ_CP170034.1,integron_02,CALIN,no,9,8,2526048,2535713,9.7
GCF_002875465.2,NZ_CP170035.1,integron_01,CALIN,no,2,1,1431,3816,2.4
GCF_002876425.2,NZ_CP170031.1,integron_01,complete,yes,6,5,2791193,2798441,7.2
GCF_002876425.2,NZ_CP170032.1,integron_01,CALIN,no,3,2,1164823,1167795,3.0
GCF_002876425.2,NZ_CP170032.1,integron_02,CALIN,no,2,1,1323748,1325684,1.9
GCF_002877465.2,NZ_CP170028.1,integron_01,CALIN,no,3,2,1709827,1714212,4.4
GCF_002877465.2,NZ_CP170029.1,integron_01,CALIN,no,3,2,1036646,1042019,5.4
GCF_002877505.2,,,none,no,0,0,0,0,0
GCF_002887615.1,NZ_CP025792.1,integron_01,complete,yes,58,57,51072,111164,60.1
GCF_002887655.1,NZ_CP025796.1,integron_01,complete,yes,94,93,49661,118594,68.9
GCF_002892855.1,NZ_CP025937.1,integron_01,complete,yes,168,167,309147,432952,123.8
GCF_002906455.1,NZ_CP026315.1,integron_01,CALIN,no,41,40,2916245,2974937,58.7
GCF_002906455.1,NZ_CP026316.1,integron_01,CALIN,no,4,3,868803,872857,4.1
GCF_002906455.1,NZ_CP026319.1,integron_01,CALIN,no,11,10,48211,61373,13.2
GCF_002906455.1,NZ_CP026320.1,integron_01,CALIN,no,35,34,3,36020,36.0
GCF_002906475.1,NZ_CP026321.1,integron_01,complete,yes,67,66,1363760,1438641,74.9
GCF_002906475.1,NZ_CP026322.1,integron_01,CALIN,no,2,1,1392091,1393533,1.4
GCF_002906655.1,NZ_CP025794.1,integron_01,complete,yes,144,143,44410,168446,124.0
GCF_002946655.1,NZ_CP026647.1,integron_01,complete,yes,1,0,148752,154224,5.5
GCF_002946655.1,NZ_CP026648.1,integron_01,complete,yes,131,130,36123,135858,99.7
GCF_002953335.1,NZ_CP014094.1,integron_01,complete,yes,139,138,1667319,1779447,112.1
GCF_002953335.1,NZ_CP014093.1,integron_01,CALIN,no,7,6,85645,97443,11.8
GCF_002953355.1,NZ_CP014134.1,integron_01,complete,yes,129,128,27819,131637,103.8
GCF_002953355.1,NZ_CP014133.1,integron_01,CALIN,no,12,11,560322,569006,8.7
GCF_002953375.1,NZ_CP014032.1,integron_01,CALIN,no,2,1,1637548,1638840,1.3
GCF_002953395.1,NZ_CP014036.1,integron_01,CALIN,no,2,1,2834899,2841594,6.7
GCF_002953395.1,NZ_CP014036.1,integron_02,complete,yes,53,52,2865956,2902590,36.6
GCF_002953515.1,NZ_CP014053.1,integron_01,CALIN,no,2,1,305056,306125,1.1
GCF_002953515.1,NZ_CP014053.1,integron_02,complete,yes,68,67,796577,861422,64.8
GCF_002953515.1,NZ_CP014053.1,integron_03,CALIN,no,4,3,1675657,1677969,2.3
GCF_002953515.1,NZ_CP014053.1,integron_04,CALIN,no,4,3,1709151,1711440,2.3
GCF_002953535.1,NZ_CP014040.1,integron_01,CALIN,no,2,1,1130727,1131796,1.1
GCF_002953535.1,NZ_CP014040.1,integron_02,CALIN,no,102,101,1687369,1786636,99.3
GCF_002953535.1,NZ_CP014040.1,integron_03,complete,yes,47,46,1830437,1868918,38.5
GCF_002953975.1,NZ_CP014045.1,integron_01,complete,yes,79,78,1327308,1395912,68.6
GCF_002953975.1,NZ_CP014045.1,integron_02,CALIN,no,4,3,1428368,1432576,4.2
GCF_002997215.1,NZ_CP024868.1,integron_01,complete,yes,168,167,309797,433602,123.8
GCF_003031205.1,NZ_CP020533.1,integron_01,CALIN,no,9,8,19398,26112,6.7
GCF_003031205.1,NZ_CP020533.1,integron_02,complete,yes,59,58,130741,183829,53.1
GCF_003031205.1,NZ_CP020533.1,integron_03,CALIN,no,3,2,1071779,1073856,2.1
GCF_003031205.1,NZ_CP020533.1,integron_04,CALIN,no,16,15,1129204,1141490,12.3
GCF_003047125.1,NZ_CP017635.1,integron_01,complete,yes,248,247,611180,800877,189.7
GCF_003063785.1,NZ_CP028828.1,integron_01,complete,yes,171,170,312057,437697,125.6
GCF_003063885.1,NZ_CP028893.1,integron_01,complete,yes,227,226,307268,474111,166.8
GCF_003076895.1,NZ_CP028141.1,integron_01,complete,yes,79,78,1224292,1289125,64.8
GCF_003085735.1,NZ_CP020034.1,integron_01,complete,yes,152,151,1304414,1428522,124.1
GCF_003097695.1,NZ_CP028895.1,integron_01,complete,yes,168,167,311994,435799,123.8
GCF_003119375.1,NZ_CP028342.1,integron_01,complete,yes,79,78,1244911,1309743,64.8
GCF_003130755.1,,,none,no,0,0,0,0,0
GCF_003312585.1,NZ_CP030788.1,integron_01,CALIN,no,3,2,1088508,1092336,3.8
GCF_003312585.1,NZ_CP030788.1,integron_02,CALIN,no,17,16,1702826,1723697,20.9
GCF_003312585.1,NZ_CP030788.1,integron_03,CALIN,no,6,5,1733277,1738454,5.2
GCF_003312585.1,NZ_CP030788.1,integron_04,CALIN,no,4,3,1851754,1854770,3.0
GCF_003312585.1,NZ_CP030788.1,integron_05,complete,yes,23,22,1913736,1939579,25.8
GCF_003312585.1,NZ_CP030789.1,integron_01,CALIN,no,7,6,325026,329968,4.9
GCF_003312585.1,NZ_CP030789.1,integron_02,CALIN,no,4,3,760250,766251,6.0
GCF_003312585.1,NZ_CP030789.1,integron_03,CALIN,no,6,5,1061302,1067511,6.2
GCF_003312585.1,NZ_CP030789.1,integron_04,CALIN,no,14,13,1578676,1591002,12.3
GCF_003312585.1,NZ_CP030789.1,integron_05,CALIN,no,5,4,1610555,1615682,5.1
GCF_003312585.1,NZ_CP030790.1,integron_01,CALIN,no,19,18,10539,36921,26.4
GCF_003312585.1,NZ_CP030790.1,integron_02,CALIN,no,3,2,63014,67317,4.3
GCF_003345295.1,NZ_CP031055.1,integron_01,CALIN,no,2,1,1404918,1405964,1.0
GCF_003345295.1,NZ_CP031056.1,integron_01,CALIN,no,3,2,1481080,1486095,5.0
GCF_003345295.1,NZ_CP031056.1,integron_02,CALIN,no,2,1,1944640,1947485,2.8
GCF_003391375.1,NZ_CP031472.1,integron_01,CALIN,no,29,28,537627,561643,24.0
GCF_003391375.1,NZ_CP031472.1,integron_02,In0,yes,0,0,1147223,1148188,1.0
GCF_003391375.1,NZ_CP031473.1,integron_01,CALIN,no,2,1,1784563,1787363,2.8
GCF_003391375.1,NZ_CP031474.1,integron_01,CALIN,no,2,1,50744,53488,2.7
GCF_003391375.1,NZ_CP031474.1,integron_02,CALIN,no,2,1,226476,232796,6.3
GCF_003399575.2,NZ_CP034673.1,integron_01,complete,yes,40,39,564030,625119,61.1
GCF_003399575.2,NZ_CP034673.1,integron_02,CALIN,no,30,29,639011,676247,37.2
GCF_003399575.2,NZ_CP034673.1,integron_03,CALIN,no,17,16,780450,802534,22.1
GCF_003443775.1,NZ_CP028943.1,integron_01,complete,yes,6,5,1896925,1902739,5.8
GCF_003443775.1,NZ_CP028944.1,integron_01,CALIN,no,4,3,1970352,1974173,3.8
GCF_003443775.1,NZ_CP028944.1,integron_02,CALIN,no,2,1,1991934,1993945,2.0
GCF_003522555.1,NZ_CP019290.1,integron_01,complete,yes,228,227,1430179,1576433,146.3
GCF_003574155.1,NZ_AP018677.1,integron_01,complete,yes,1,0,5546,8007,2.5
GCF_003574155.1,NZ_AP018677.1,integron_02,complete,yes,108,107,1511738,1605287,93.5
GCF_003591575.1,NZ_CP024083.1,integron_01,complete,yes,88,87,309195,371895,62.7
GCF_003595585.1,NZ_CP022469.1,integron_01,complete,yes,278,277,852173,1046590,194.4
GCF_003612695.1,NZ_CP023472.1,integron_01,CALIN,no,6,5,1873689,1883197,9.5
GCF_003612695.1,NZ_CP023472.1,integron_02,complete,yes,174,173,1917746,2057322,139.6
GCF_003612715.1,NZ_CP023485.1,integron_01,CALIN,no,3,2,1435787,1441054,5.3
GCF_003612715.1,NZ_CP023485.1,integron_02,CALIN,no,33,32,1865658,1893243,27.6
GCF_003612715.1,NZ_CP023485.1,integron_03,complete,yes,86,85,1927077,1988138,61.1
GCF_003613035.1,NZ_CP017891.1,integron_01,CALIN,no,23,22,1950992,1970538,19.5
GCF_003613035.1,NZ_CP017891.1,integron_02,complete,yes,22,21,2062300,2082274,20.0
GCF_003613035.1,NZ_CP017891.1,integron_03,CALIN,no,4,3,2648883,2652777,3.9
GCF_003613065.1,NZ_CP017902.1,integron_01,CALIN,no,23,22,1952737,1972283,19.5
GCF_003613065.1,NZ_CP017902.1,integron_02,complete,yes,22,21,2064044,2084018,20.0
GCF_003613065.1,NZ_CP017902.1,integron_03,CALIN,no,4,3,2649335,2653229,3.9
GCF_003691485.1,NZ_CP033134.1,integron_01,complete,yes,55,54,2003355,2070280,66.9
GCF_003691505.1,NZ_CP033137.1,integron_01,complete,yes,49,48,1472506,1519326,46.8
GCF_003691525.1,NZ_CP033141.1,integron_01,complete,yes,144,143,1378830,1487037,108.2
GCF_003691545.1,NZ_CP033144.1,integron_01,complete,yes,106,105,1002589,1090257,87.7
GCF_003716875.1,NZ_CP033077.1,integron_01,CALIN,no,5,4,32924,40837,7.9
GCF_003716875.1,NZ_CP033078.1,integron_01,complete,yes,5,4,1033602,1042260,8.7
GCF_003719755.1,NZ_CP033515.1,integron_01,complete,yes,1,0,2399963,2405435,5.5
GCF_003719755.1,NZ_CP033513.1,integron_01,complete,yes,132,131,127139,226875,99.7
GCF_003719755.1,NZ_CP033514.1,integron_01,complete,yes,1,0,155325,157516,2.2
GCF_003726935.1,NZ_CP033577.1,integron_01,complete,yes,6,5,3541375,3550783,9.4
GCF_003726935.1,NZ_CP033578.1,integron_01,CALIN,no,2,1,1615844,1619045,3.2
GCF_003942025.1,NZ_CP034240.1,integron_01,CALIN,no,2,1,1500702,1502898,2.2
GCF_003942025.1,NZ_CP034240.1,integron_02,CALIN,no,4,3,1668157,1673359,5.2
GCF_003942025.1,NZ_CP034241.1,integron_01,complete,yes,17,16,593550,615412,21.9
GCF_003942025.1,NZ_CP034238.1,integron_01,complete,yes,4,3,4559,8600,4.0
GCF_003942025.1,NZ_CP034238.1,integron_02,complete,yes,4,3,251297,255341,4.0
GCF_003942025.1,NZ_CP034238.1,integron_03,complete,yes,4,3,273511,277553,4.0
GCF_004006515.1,NZ_CP031781.1,integron_01,complete,yes,64,63,1322242,1369149,46.9
GCF_004135105.1,NZ_CP035458.1,integron_01,CALIN,no,2,1,692811,695335,2.5
GCF_004194515.1,NZ_CP034565.1,integron_01,complete,yes,132,131,1789606,1894569,105.0
GCF_004194515.1,NZ_CP034567.1,integron_01,CALIN,no,8,7,50045,59606,9.6
GCF_004319645.1,NZ_CP027030.1,integron_01,CALIN,no,173,172,1412760,1551656,138.9
GCF_004319645.1,NZ_CP027031.1,integron_01,CALIN,no,2,1,194204,198245,4.0
GCF_004328575.1,NZ_CP036500.1,integron_01,complete,yes,107,106,322986,403614,80.6
GCF_004916735.1,NZ_CP039516.1,integron_01,CALIN,no,2,1,1168066,1170670,2.6
GCF_004916735.1,NZ_CP039516.1,integron_02,CALIN,no,2,1,2517531,2520259,2.7
GCF_005144905.1,NZ_CP039700.1,integron_01,CALIN,no,4,3,2239861,2243535,3.7
GCF_005144905.1,NZ_CP039701.1,integron_01,CALIN,no,11,10,73523,86465,12.9
GCF_005280275.1,NZ_CP040021.1,integron_01,complete,yes,1,0,1081949,1084600,2.7
GCF_005280275.1,NZ_CP040021.1,integron_02,CALIN,no,3,2,1214856,1219741,4.9
GCF_005280275.1,NZ_CP040022.1,integron_01,CALIN,no,6,5,146393,151641,5.2
GCF_006364355.1,NZ_CP040990.1,integron_01,CALIN,no,3,2,2663989,2673998,10.0
GCF_006364355.1,NZ_CP040991.1,integron_01,CALIN,no,4,3,266250,271712,5.5
GCF_006364355.1,NZ_CP040991.1,integron_02,complete,yes,55,54,1507974,1547295,39.3
GCF_006517795.1,NZ_CP041202.1,integron_01,complete,yes,152,151,1402641,1521793,119.2
GCF_007182835.1,NZ_AP019798.1,integron_01,complete,yes,64,63,1889467,1947985,58.5
GCF_008369605.1,NZ_CP043556.1,integron_01,complete,yes,17,16,942698,957407,14.7
GCF_008369605.1,NZ_CP043556.1,integron_02,CALIN,no,21,20,957478,974010,16.5
GCF_008369605.1,NZ_CP043556.1,integron_03,CALIN,no,121,120,981561,1071623,90.1
GCF_008693625.1,NZ_CP044062.1,integron_01,complete,yes,116,115,556576,638975,82.4
GCF_008693625.1,NZ_CP044062.1,integron_02,CALIN,no,19,18,652206,670829,18.6
GCF_008693685.1,NZ_CP044069.1,integron_01,complete,yes,222,221,1801327,1962721,161.4
GCF_008693745.1,NZ_CP044071.1,integron_01,complete,yes,108,107,634895,723401,88.5
GCF_008693745.1,NZ_CP044071.1,integron_02,CALIN,no,2,1,1166250,1168519,2.3
GCF_009184745.1,NZ_CP045070.1,integron_01,complete,yes,115,114,1169841,1274832,105.0
GCF_009184745.1,NZ_CP045070.1,integron_02,CALIN,no,5,4,2944833,2952558,7.7
GCF_009363355.1,NZ_CP045338.1,integron_01,CALIN,no,2,1,2047725,2050554,2.8
GCF_009363355.1,NZ_CP045339.1,integron_01,CALIN,no,2,1,340708,343083,2.4
GCF_009363355.1,NZ_CP045340.1,integron_01,CALIN,no,6,5,191517,202091,10.6
GCF_009363415.1,NZ_CP045351.1,integron_01,CALIN,no,2,1,402151,404307,2.2
GCF_009363455.1,NZ_CP045355.1,integron_01,CALIN,no,35,34,1492667,1518612,25.9
GCF_009363455.1,NZ_CP045355.1,integron_02,In0,yes,0,0,2100813,2101778,1.0
GCF_009601765.2,NZ_CP045699.1,integron_01,CALIN,no,3,2,1217327,1219064,1.7
GCF_009601765.2,NZ_CP045700.1,integron_01,CALIN,no,2,1,856579,860649,4.1
GCF_009601765.2,NZ_CP058324.1,integron_01,CALIN,no,2,1,29616,32434,2.8
GCF_009646135.1,NZ_CP045718.1,integron_01,CALIN,no,17,16,799407,812981,13.6
GCF_009646135.1,NZ_CP045718.1,integron_02,complete,yes,108,107,833007,914523,81.5
GCF_009649015.1,NZ_CP045794.1,integron_01,complete,yes,103,102,1902102,1990138,88.0
GCF_009649015.1,NZ_CP045794.1,integron_02,CALIN,no,2,1,2433114,2435383,2.3
GCF_009665195.1,NZ_CP035683.1,integron_01,complete,yes,215,214,55591,210101,154.5
GCF_009665215.1,NZ_CP035680.1,integron_01,In0,yes,0,0,2091457,2092419,1.0
GCF_009665215.1,NZ_CP035680.1,integron_02,CALIN,no,192,191,2111244,2264089,152.8
GCF_009665255.1,NZ_CP035687.1,integron_01,complete,yes,152,151,3,1074150,1074.1
GCF_009665275.1,NZ_CP035689.1,integron_01,complete,yes,221,220,453640,607302,153.7
GCF_009665295.1,,,none,no,0,0,0,0,0
GCF_009665315.1,NZ_CP035693.1,integron_01,complete,yes,76,75,2625357,2695931,70.6
GCF_009665335.1,NZ_CP035694.1,integron_01,CALIN,no,2,1,800179,801357,1.2
GCF_009665335.1,NZ_CP035694.1,integron_02,CALIN,no,4,3,1042909,1047364,4.5
GCF_009665335.1,NZ_CP035694.1,integron_03,CALIN,no,3,2,1413222,1415946,2.7
GCF_009665395.1,NZ_CP035698.1,integron_01,CALIN,no,22,21,387209,409983,22.8
GCF_009665395.1,NZ_CP035698.1,integron_02,CALIN,no,3,2,422543,424709,2.2
GCF_009665395.1,NZ_CP035698.1,integron_03,CALIN,no,77,76,436106,502859,66.8
GCF_009665395.1,NZ_CP035698.1,integron_04,complete,yes,72,71,518073,571302,53.2
GCF_009665415.1,NZ_CP035921.1,integron_01,CALIN,no,205,204,168102,327123,159.0
GCF_009665415.1,NZ_CP035921.1,integron_02,In0,yes,0,0,347948,348910,1.0
GCF_009665435.1,NZ_CP035700.1,integron_01,complete,yes,8,7,87693,94922,7.2
GCF_009665435.1,NZ_CP035700.1,integron_02,CALIN,no,34,33,148395,179951,31.6
GCF_009665475.1,NZ_CP035731.1,integron_01,complete,yes,257,256,263263,452106,188.8
GCF_009665495.1,NZ_CP035701.1,integron_01,CALIN,no,4,3,1452385,1456582,4.2
GCF_009665495.1,NZ_CP035701.1,integron_02,complete,yes,136,135,1944322,2053253,108.9
GCF_009676865.1,NZ_CP046065.1,integron_01,CALIN,no,35,34,1492456,1518401,25.9
GCF_009676865.1,NZ_CP046065.1,integron_02,In0,yes,0,0,2099543,2100508,1.0
GCF_009708195.1,NZ_CP046162.1,integron_01,CALIN,no,35,34,1492610,1518555,25.9
GCF_009708195.1,NZ_CP046162.1,integron_02,In0,yes,0,0,2100754,2101719,1.0
GCF_009734325.1,NZ_CP046411.1,integron_01,complete,yes,155,154,34290,156591,122.3
GCF_009762895.1,NZ_CP046735.1,integron_01,complete,yes,95,94,2,1025486,1025.5
GCF_009762915.1,NZ_CP046738.1,integron_01,complete,yes,176,175,949375,1072270,122.9
GCF_009762945.1,NZ_CP046739.1,integron_01,complete,yes,121,120,39,1050830,1050.8
GCF_009762965.1,NZ_CP046741.1,integron_01,complete,yes,238,237,444653,638391,193.7
GCF_009762985.1,NZ_CP046743.1,integron_01,complete,yes,192,191,575627,717201,141.6
GCF_009763025.1,NZ_CP046776.1,integron_01,complete,yes,85,84,1348292,1410324,62.0
GCF_009763025.1,NZ_CP046776.1,integron_02,CALIN,no,2,1,1871082,1872601,1.5
GCF_009763045.1,NZ_CP046748.1,integron_01,CALIN,no,100,99,597132,668045,70.9
GCF_009763065.1,NZ_CP046750.1,integron_01,complete,yes,127,126,2,1102730,1102.7
GCF_009763085.1,NZ_CP046772.1,integron_01,complete,yes,130,129,2034766,2130339,95.6
GCF_009763085.1,NZ_CP046774.1,integron_01,CALIN,no,9,8,76333,81769,5.4
GCF_009763085.1,NZ_CP046774.1,integron_02,CALIN,no,21,20,99771,115836,16.1
GCF_009763085.1,NZ_CP046773.1,integron_01,complete,yes,1,0,126848,129039,2.2
GCF_009763125.1,,,none,no,0,0,0,0,0
GCF_009763165.1,NZ_CP046754.1,integron_01,complete,yes,126,125,1175796,1279822,104.0
GCF_009763165.1,NZ_CP046754.1,integron_02,CALIN,no,2,1,1713442,1715711,2.3
GCF_009763185.1,NZ_CP046756.1,integron_01,CALIN,no,2,1,2479995,2482313,2.3
GCF_009763185.1,NZ_CP046756.1,integron_02,CALIN,no,2,1,2502906,2505369,2.5
GCF_009763225.1,NZ_CP046798.1,integron_01,complete,yes,62,61,1194070,1235846,41.8
GCF_009763345.1,NZ_CP046796.1,integron_01,complete,yes,30,29,1429383,1451919,22.5
GCF_009763405.1,NZ_CP046760.1,integron_01,complete,yes,15,14,1142866,1164681,21.8
GCF_009763425.1,NZ_CP046761.1,integron_01,complete,yes,76,75,1102315,1164695,62.4
GCF_009763445.1,NZ_CP046763.1,integron_01,complete,yes,150,149,3197020,3317093,120.1
GCF_009763465.1,NZ_CP046767.1,integron_01,complete,yes,2,1,936568,940372,3.8
GCF_009763465.1,NZ_CP046768.1,integron_01,complete,yes,5,4,1214891,1220459,5.6
GCF_009763485.1,NZ_CP046816.1,integron_01,CALIN,no,10,9,251346,262664,11.3
GCF_009763485.1,NZ_CP046816.1,integron_02,CALIN,no,2,1,276357,277592,1.2
GCF_009763485.1,NZ_CP046816.1,integron_03,complete,yes,89,88,307705,391645,83.9
GCF_009763505.1,NZ_CP046778.1,integron_01,CALIN,no,2,1,216597,218341,1.7
GCF_009763505.1,NZ_CP046778.1,integron_02,complete,yes,121,120,3005335,3106207,100.9
GCF_009763525.1,NZ_CP046779.1,integron_01,CALIN,no,2,1,2017638,2019907,2.3
GCF_009763525.1,NZ_CP046779.1,integron_02,complete,yes,121,120,2453530,2554402,100.9
GCF_009763545.1,NZ_CP046782.1,integron_01,CALIN,no,4,3,1574572,1577197,2.6
GCF_009763545.1,NZ_CP046782.1,integron_02,complete,yes,51,50,2020306,2063875,43.6
GCF_009763565.1,NZ_CP046783.1,integron_01,CALIN,no,3,2,921487,923558,2.1
GCF_009763565.1,NZ_CP046783.1,integron_02,complete,yes,167,166,1336067,1457133,121.1
GCF_009763585.1,NZ_CP046810.1,integron_01,In0,yes,0,0,861784,862563,0.8
GCF_009763605.1,NZ_CP046785.1,integron_01,complete,yes,115,114,2397971,2490093,92.1
GCF_009763605.1,NZ_CP046785.1,integron_02,CALIN,no,2,1,2955344,2959001,3.7
GCF_009763625.1,NZ_CP046787.1,integron_01,complete,yes,111,110,2311652,2400219,88.6
GCF_009763645.1,NZ_CP046808.1,integron_01,complete,yes,126,125,2792480,2896508,104.0
GCF_009763645.1,NZ_CP046808.1,integron_02,CALIN,no,2,1,3330130,3332399,2.3
GCF_009763665.1,NZ_CP046839.1,integron_01,complete,yes,2,1,1863978,1875899,11.9
GCF_009763665.1,NZ_CP046838.1,integron_01,CALIN,no,88,87,781069,851868,70.8
GCF_009763705.1,NZ_CP046801.1,integron_01,CALIN,no,14,13,460999,475943,14.9
GCF_009763705.1,NZ_CP046801.1,integron_02,CALIN,no,7,6,486301,492602,6.3
GCF_009763705.1,NZ_CP046801.1,integron_03,complete,yes,94,93,509193,588113,78.9
GCF_009763725.1,NZ_CP046791.1,integron_01,CALIN,no,178,177,1759479,1890842,131.4
GCF_009763725.1,NZ_CP046791.1,integron_02,CALIN,no,116,115,1930172,2005096,74.9
GCF_009763725.1,NZ_CP046791.1,integron_03,In0,yes,0,0,2023215,2024327,1.1
GCF_009763745.1,NZ_CP046806.1,integron_01,complete,yes,62,61,898656,942477,43.8
GCF_009763745.1,NZ_CP046807.1,integron_01,CALIN,no,3,2,66688,70148,3.5
GCF_009763765.1,NZ_CP046794.1,integron_01,complete,yes,40,39,122740,162876,40.1
GCF_009763785.1,NZ_CP046800.1,integron_01,CALIN,no,2,1,390750,393165,2.4
GCF_009763785.1,NZ_CP046800.1,integron_02,CALIN,no,2,1,2823298,2825193,1.9
GCF_009763785.1,NZ_CP046799.1,integron_01,complete,yes,1,0,367563,372311,4.7
GCF_009763785.1,NZ_CP046799.1,integron_02,CALIN,no,4,3,840719,846442,5.7
GCF_009763825.1,NZ_CP046841.1,integron_01,complete,yes,117,116,322432,412236,89.8
GCF_009763845.1,NZ_CP046814.1,integron_01,complete,yes,47,46,2284528,2321408,36.9
GCF_009763845.1,NZ_CP046812.1,integron_01,CALIN,no,14,13,116544,130022,13.5
GCF_009763865.1,NZ_CP046818.1,integron_01,complete,yes,127,126,1025906,1128911,103.0
GCF_009763885.1,NZ_CP046849.1,integron_01,complete,yes,176,175,1,1034285,1034.3
GCF_009763885.1,NZ_CP046849.1,integron_02,CALIN,no,10,9,73933,81641,7.7
GCF_009763885.1,NZ_CP046849.1,integron_03,CALIN,no,22,21,93986,114358,20.4
GCF_009763905.1,NZ_CP046819.1,integron_01,complete,yes,169,168,51554,166505,115.0
GCF_009763925.1,NZ_CP046822.1,integron_01,In0,yes,0,0,718826,719785,1.0
GCF_009763925.1,NZ_CP046821.1,integron_01,complete,yes,142,141,3,822451,822.4
GCF_009763945.1,NZ_CP046845.1,integron_01,complete,yes,167,166,113,1070288,1070.2
GCF_009764005.1,NZ_CP046824.1,integron_01,complete,yes,188,187,916358,1060390,144.0
GCF_009764025.1,NZ_CP046847.1,integron_01,complete,yes,189,188,414046,552251,138.2
GCF_009764055.1,NZ_CP046831.1,integron_01,CALIN,no,5,4,1247837,1253775,5.9
GCF_009764055.1,NZ_CP046831.1,integron_02,complete,yes,193,192,1671550,1825309,153.8
GCF_009764075.1,NZ_CP046828.1,integron_01,complete,yes,108,107,1520752,1609252,88.5
GCF_009764075.1,NZ_CP046828.1,integron_02,CALIN,no,2,1,2042874,2045143,2.3
GCF_009764095.1,NZ_CP046832.1,integron_01,complete,yes,85,84,1485122,1548348,63.2
GCF_009764115.1,NZ_CP046835.1,integron_01,complete,yes,292,291,1150341,1350499,200.2
GCF_009764155.1,NZ_CP046851.1,integron_01,In0,yes,0,0,1032845,1033807,1.0
GCF_009764195.1,NZ_CP046856.1,integron_01,complete,yes,1,0,1599108,1601148,2.0
GCF_009764215.1,NZ_CP046858.1,integron_01,complete,yes,1,0,497951,499848,1.9
GCF_009764215.1,NZ_CP046858.1,integron_02,complete,yes,1,0,970779,972577,1.8
GCF_009799825.1,NZ_CP047059.1,integron_01,complete,yes,1,0,2311174,2316646,5.5
GCF_009799825.1,NZ_CP047060.1,integron_01,complete,yes,131,130,311040,410783,99.7
GCF_009883815.1,NZ_CP034285.1,integron_01,complete,yes,70,69,1314131,1374032,59.9
GCF_009883815.1,NZ_CP034286.1,integron_01,CALIN,no,2,1,1522181,1523883,1.7
GCF_009883835.1,NZ_CP034289.1,integron_01,complete,yes,103,102,1350338,1441359,91.0
GCF_009883835.1,NZ_CP034290.1,integron_01,CALIN,no,2,1,1622122,1623824,1.7
GCF_009883855.1,NZ_CP034294.1,integron_01,complete,yes,69,68,1334216,1407583,73.4
GCF_009883855.1,NZ_CP034295.1,integron_01,CALIN,no,2,1,1633084,1634786,1.7
GCF_009883875.1,NZ_CP034298.1,integron_01,complete,yes,110,109,2054735,2138239,83.5
GCF_009883875.1,NZ_CP034301.1,integron_01,CALIN,no,2,1,78917,81465,2.5
GCF_009883895.1,NZ_CP034305.1,integron_01,complete,yes,152,151,1314931,1439037,124.1
GCF_009938115.1,NZ_CP042300.1,integron_01,complete,yes,148,147,828494,941258,112.8
GCF_009938165.1,NZ_AP019650.1,integron_01,CALIN,no,3,2,495822,497345,1.5
GCF_009938165.1,NZ_AP019650.1,integron_02,complete,yes,2,1,877079,884139,7.1
GCF_009938185.1,NZ_AP019652.1,integron_01,CALIN,no,3,2,496566,498683,2.1
GCF_009938185.1,NZ_AP019652.1,integron_02,complete,yes,2,1,878976,886082,7.1
GCF_009938205.1,NZ_AP019654.1,integron_01,CALIN,no,5,4,1436218,1456568,20.4
GCF_009938225.1,,,none,no,0,0,0,0,0
GCF_010587385.1,NZ_CP047475.1,integron_01,CALIN,no,2,1,1744124,1745719,1.6
GCF_010587385.1,NZ_CP047476.1,integron_01,complete,yes,7,6,1570461,1586128,15.7
GCF_011064285.1,NZ_CP049331.1,integron_01,complete,yes,4,3,1708426,1715573,7.1
GCF_011212705.1,NZ_CP048693.1,integron_01,CALIN,no,53,52,2902531,2944750,42.2
GCF_011212705.1,NZ_CP048695.1,integron_01,CALIN,no,2,1,110133,111662,1.5
GCF_011306175.1,NZ_CP049914.1,integron_01,complete,yes,60,59,3,599486,599.5
GCF_011306175.1,NZ_CP049914.1,integron_02,CALIN,no,5,4,467129,470508,3.4
