accession,species,attC,cassettes,complete,calin
GCF_003591575.1,Vibrio cholerae,88,87,1,0
GCF_013368735.1,Vibrio alginolyticus,88,84,1,3
GCF_046581405.1,Vibrio vulnificus,88,86,1,1
GCF_000786425.1,Vibrio anguillarum,87,84,1,2
GCF_002211505.1,Vibrio anguillarum,87,84,1,2
GCF_003031205.1,Vibrio anguillarum,87,83,1,3
GCF_003399575.2,Vibrio anguillarum,87,84,1,2
GCF_009763025.1,Vibrio parahaemolyticus,87,85,1,1
GCF_025397955.1,Vibrio sp. J502,87,84,1,2
GCF_021610025.1,Vibrio anguillarum,86,84,1,1
GCF_049818045.1,Vibrio parahaemolyticus,86,85,1,0
GCF_009764095.1,Vibrio vulnificus,85,84,1,0
GCF_028885545.1,Vibrio harveyi,85,82,1,2
GCF_028885585.1,Vibrio harveyi,85,82,1,2
GCF_032841535.3,Vibrio cholerae,85,83,1,1
GCF_000217675.1,Vibrio anguillarum 775,84,81,1,2
GCF_000354175.2,Vibrio alginolyticus NBRC 15630 = ATCC 17749,84,82,1,1
GCF_000462975.1,Vibrio anguillarum M3,84,81,1,2
GCF_021729965.1,Vibrio parahaemolyticus,84,81,1,2
GCF_021730025.1,Vibrio parahaemolyticus,84,81,1,2
GCF_022343165.1,Vibrio alginolyticus,84,83,1,0
GCF_026651645.1,Vibrio alginolyticus,84,82,1,1
GCF_028609665.1,Vibrio parahaemolyticus,84,82,1,1
GCF_028609685.1,Vibrio parahaemolyticus,84,81,1,2
GCF_028609705.1,Vibrio parahaemolyticus,84,81,1,2
GCF_033573735.1,Vibrio parahaemolyticus,84,82,1,1
GCF_051859665.1,Vibrio alginolyticus,84,82,1,1
GCF_001685465.1,Vibrio scophthalmi,83,81,0,2
GCF_002953975.1,Vibrio alginolyticus,83,81,1,1
GCF_028898825.1,Vibrio harveyi,83,82,1,0
GCF_000746665.1,Vibrio vulnificus,82,81,1,0
GCF_021391375.1,Vibrio kanaloae,82,77,1,4
GCF_024347295.1,Vibrio artabrorum,82,81,1,0
GCF_039544385.1,Vibrio harveyi,82,79,1,2
GCF_054568155.3,Vibrio parahaemolyticus,82,79,2,1
GCF_057321345.1,Vibrio parahaemolyticus,82,79,2,1
GCF_028898625.1,Vibrio harveyi,81,79,1,1
GCF_030388405.1,Vibrio harveyi,81,80,1,0
GCF_036351935.1,Vibrio harveyi,81,80,1,0
GCF_045004315.1,Vibrio campbellii,81,79,1,1
GCF_052805255.1,Vibrio campbellii,81,80,1,0
GCF_000024825.1,Vibrio antiquarius,80,77,1,2
GCF_022343125.1,Vibrio alginolyticus,80,78,1,1
GCF_003076895.1,Vibrio parahaemolyticus,79,78,1,0
GCF_003119375.1,Vibrio parahaemolyticus,79,78,1,0
GCF_028898745.1,Vibrio harveyi,79,78,1,0
GCF_046532695.1,Vibrio alginolyticus,79,78,1,0
GCF_053643215.1,Vibrio sp. NH-7,79,78,1,0
GCF_002953515.1,Vibrio alginolyticus,78,74,1,3
GCF_024220035.1,Vibrio furnissii,78,74,2,2
GCF_045820715.1,Vibrio rotiferianus,78,77,1,0
GCF_050815385.1,Vibrio harveyi,77,75,1,1
GCF_000328405.1,Vibrio parahaemolyticus BB22OP,76,74,1,1
GCF_009665315.1,Vibrio harveyi,76,75,1,0
GCF_009763425.1,Vibrio parahaemolyticus,76,75,1,0
GCF_026013235.1,Vibrio cholerae,76,75,1,0
GCF_034428235.1,Vibrio alfacsensis,76,74,1,1
GCF_048284855.2,Vibrio harveyi,76,75,1,0
GCF_029224045.1,Vibrio furnissii,75,74,1,0
GCF_039658545.1,Vibrio parahaemolyticus,75,74,1,0
GCF_055808835.1,Vibrio sp. GJ43-1,75,73,1,1
GCF_024442235.1,Vibrio campbellii,74,60,0,14
GCF_057368435.1,Aliivibrio friggae,74,71,2,1
GCF_057439795.1,Vibrio harveyi,74,72,1,1
GCF_057439825.1,Vibrio harveyi,74,72,1,1
GCF_028743695.1,Vibrio alginolyticus,73,72,1,0
GCF_001310575.2,Vibrio owensii,72,71,1,0
GCF_001469735.1,Vibrio alginolyticus,72,68,1,3
GCF_009883815.1,Vibrio parahaemolyticus,72,70,1,1
GCF_025920025.1,Vibrio parahaemolyticus,72,70,1,1
GCF_049810405.1,Vibrio owensii,72,71,1,0
GCF_057476815.1,Vibrio alginolyticus,72,68,1,3
GCF_009883855.1,Vibrio parahaemolyticus,71,69,1,1
GCF_018135645.1,Vibrio parahaemolyticus,71,70,1,0
GCF_056824445.1,Vibrio rotiferianus,71,68,1,2
GCF_052076135.1,Vibrio sp. Vf1514,70,69,1,0
GCF_002906475.1,Vibrio campbellii,69,67,1,1
GCF_022343145.1,Vibrio alginolyticus,69,67,0,2
GCF_046271895.1,Vibrio parahaemolyticus,69,68,1,0
GCF_013154935.1,Vibrio europaeus,68,65,1,2
GCF_015654285.1,Vibrio europaeus,68,63,1,4
GCF_049384865.1,Vibrio harveyi,68,66,1,1
GCF_002214395.1,Vibrio rotiferianus,67,66,1,0
GCF_028898645.1,Vibrio harveyi,67,65,1,1
GCF_037997145.1,Vibrio harveyi,67,63,1,3
GCF_057730835.1,Aliivibrio fischeri,67,66,1,0
GCF_000196095.1,Vibrio parahaemolyticus RIMD 2210633,66,65,1,0
GCF_001700835.1,Vibrio parahaemolyticus,66,64,1,1
GCF_002073775.2,Vibrio parahaemolyticus,66,65,1,0
GCF_023205915.1,Vibrio parahaemolyticus,66,65,1,0
GCF_030991365.1,Vibrio alginolyticus,66,63,1,2
GCF_038070605.1,Vibrio parahaemolyticus,66,64,1,1
GCF_038297345.1,Vibrio alginolyticus,66,63,1,2
GCF_046271965.1,Vibrio parahaemolyticus,66,65,1,0
GCF_050710195.2,Vibrio campbellii,66,64,1,1
GCF_052076125.1,Vibrio parahaemolyticus,66,65,1,0
GCF_002142655.1,Vibrio campbellii,65,64,1,0
GCF_009763745.1,Vibrio alginolyticus,65,63,1,1
GCF_011306175.1,Vibrio sp. HDW18,65,63,1,1
GCF_004006515.1,Vibrio parahaemolyticus,64,63,1,0
GCF_007182835.1,Vibrio rotiferianus,64,63,1,0
GCF_022343185.1,Vibrio alginolyticus,64,62,1,1
GCF_028228685.1,Vibrio parahaemolyticus,64,63,1,0
GCF_030552955.1,Vibrio parahaemolyticus,64,63,1,0
GCF_050507685.1,Vibrio alginolyticus,64,61,1,2
GCF_055394615.1,Vibrio parahaemolyticus,64,63,1,0
GCF_052591495.1,Vibrio harveyi,63,62,1,0
GCF_006364355.1,Vibrio furnissii,62,59,1,2
GCF_009763225.1,Vibrio furnissii,62,61,1,0
GCF_022869905.1,Vibrio furnissii,62,59,1,2
GCF_023716525.1,Vibrio sp. SCSIO 43009,62,60,1,1
GCF_024442215.1,Vibrio campbellii,62,54,1,7
GCF_009763845.1,Vibrio alginolyticus,61,59,1,1
GCF_029203225.1,Vibrio alginolyticus,61,60,1,0
GCF_000184325.1,Vibrio furnissii NCTC 11218,60,58,1,1
GCF_057439855.1,Vibrio coralliilyticus,60,56,0,4
GCF_019670025.1,Vibrio alfacsensis,59,58,1,0
GCF_047221425.1,Vibrio cholerae,59,56,1,2
GCF_002887615.1,Vibrio jasicida 090810c,58,57,1,0
GCF_026000435.1,Vibrio sp. STUT-A11,58,56,1,1
GCF_057439695.1,Vibrio owensii,56,54,1,1
GCF_002953395.1,Vibrio diabolicus,55,53,1,1
GCF_003691485.1,Vibrio campbellii,55,54,1,0
GCF_009763545.1,Vibrio parahaemolyticus,55,53,1,1
GCF_011212705.1,Vibrio coralliilyticus OCN008,55,53,0,2
GCF_033100075.1,Vibrio parahaemolyticus,55,53,1,1
GCF_057814595.1,Aliivibrio fischeri,55,54,1,0
GCF_059941785.1,Vibrio parahaemolyticus,55,54,1,0
GCF_002021755.1,Vibrio owensii,54,53,1,0
GCF_030994225.1,Vibrio parahaemolyticus,54,53,1,0
GCF_034480505.1,Vibrio parahaemolyticus,54,53,1,0
GCF_057439715.1,Vibrio owensii,54,51,1,2
GCF_014217295.1,Vibrio parahaemolyticus,53,52,1,0
GCF_019977755.1,Vibrio penaeicida,53,51,0,2
GCF_019977775.1,Vibrio penaeicida,53,51,0,2
GCF_019977795.1,Vibrio penaeicida,53,51,0,2
GCF_051122595.1,Vibrio sp. K4,52,51,1,0
GCF_053903115.1,Vibrio sp. AK197,52,48,1,3
GCF_057368555.1,Aliivibrio friggae,52,50,1,1
GCF_057730715.1,Aliivibrio fischeri,51,50,1,0
GCF_057730755.1,Aliivibrio fischeri,51,50,1,0
GCF_057730775.1,Aliivibrio fischeri,51,50,1,0
GCF_057730795.1,Aliivibrio fischeri,51,50,1,0
GCF_057730825.1,Aliivibrio fischeri,51,50,1,0
GCF_019977815.1,Vibrio penaeicida,50,47,0,3
GCF_019977835.1,Vibrio penaeicida,50,47,0,3
GCF_044784405.1,Vibrio cholerae,50,49,1,0
GCF_057439735.1,Vibrio owensii,50,49,1,0
GCF_963681195.1,Vibrio sp. 16,50,48,1,1
GCF_002119505.2,Vibrio alginolyticus,49,46,1,2
GCF_002119545.1,Vibrio alginolyticus,49,46,1,2
GCF_002119565.1,Vibrio alginolyticus,49,46,1,2
GCF_002119585.1,Vibrio alginolyticus,49,46,1,2
GCF_002149065.1,Vibrio alginolyticus,49,46,1,2
GCF_002149085.1,Vibrio alginolyticus,49,46,1,2
GCF_002149105.1,Vibrio alginolyticus,49,46,1,2
GCF_003613035.1,Vibrio alginolyticus,49,46,1,2
GCF_003613065.1,Vibrio alginolyticus,49,46,1,2
GCF_003691505.1,Vibrio owensii,49,48,1,0
GCF_028743655.1,Vibrio campbellii,49,47,1,1
GCF_042691635.1,Vibrio harveyi,49,48,0,1
GCF_059683725.1,Aliivibrio fischeri,49,47,1,1
GCF_040869025.1,Vibrio scophthalmi,48,47,0,1
GCF_057368615.1,Aliivibrio logei,48,46,1,1
GCF_059692255.1,Vibrio cholerae,48,47,1,0
GCF_022453845.1,Vibrio campbellii,46,45,1,0
GCF_046532685.1,Vibrio parahaemolyticus,45,43,1,1
GCF_059552575.1,Photobacterium sp. HL06,45,41,1,3
GCF_025920045.1,Vibrio parahaemolyticus,44,42,1,1
GCF_029541605.1,Vibrio coralliilyticus,44,41,0,3
GCF_047549585.1,Vibrio europaeus,43,41,1,1
GCF_001695575.2,Vibrio europaeus,42,39,1,2
GCF_009665435.1,Vibrio alginolyticus,42,40,1,1
GCF_059983175.1,Vibrio harveyi,42,40,1,1
GCF_000772065.1,Vibrio coralliilyticus,41,38,0,3
GCF_023195835.1,Vibrio sinaloensis,41,40,1,0
GCF_009763765.1,Vibrio metschnikovii,40,39,1,0
GCF_057626015.1,Vibrio harveyi,37,34,0,3
GCF_021249365.1,Vibrio furnissii,36,32,2,2
GCF_022343085.1,Vibrio alginolyticus,36,35,1,0
GCF_041950465.1,Vibrio alginolyticus,36,33,1,2
GCF_045291255.1,Vibrio scophthalmi,36,35,0,1
GCF_059682885.1,Vibrio harveyi,36,33,0,3
GCF_000772105.1,Vibrio tubiashii ATCC 19109,35,32,1,2
GCF_003391375.1,Vibrio coralliilyticus,35,31,0,4
GCF_003942025.1,Aliivibrio salmonicida,35,29,4,2
GCF_009363455.1,Vibrio sp. THAF64,35,34,0,1
GCF_009676865.1,Vibrio sp. THAF191d,35,34,0,1
GCF_009708195.1,Vibrio sp. THAF191c,35,34,0,1
GCF_041879375.1,Vibrio kanaloae,35,30,1,4
GCF_041879385.1,Vibrio kanaloae,35,30,1,4
GCF_057439675.1,Vibrio owensii,35,33,1,1
GCF_030316235.1,Vibrio furnissii,34,32,2,0
GCF_059641075.1,Vibrio coralliilyticus,34,32,0,2
GCF_028885605.1,Vibrio harveyi,33,32,1,0
GCF_000011805.1,Aliivibrio fischeri ES114,32,30,1,1
GCF_001693615.1,Vibrio coralliilyticus,32,31,0,1
GCF_041475595.1,Vibrio natriegens,32,30,1,1
GCF_054053365.1,Vibrio coralliilyticus,32,31,0,1
GCF_055699095.1,Vibrio campbellii,31,29,1,1
GCF_009763345.1,Vibrio furnissii,30,29,1,0
GCF_049821485.1,Vibrio tubiashii,30,26,1,3
GCF_030316215.1,Vibrio furnissii,29,25,1,3
GCF_057784735.1,Vibrio sp. TAP-3B,28,27,1,0
GCF_030291875.1,Vibrio parahaemolyticus,27,26,1,0
GCF_048300935.1,Vibrio scophthalmi,27,25,0,2
GCF_000241385.1,Vibrio sp. EJY3,26,24,1,1
GCF_024346995.1,Vibrio palustris,26,21,0,5
GCF_000196495.1,Aliivibrio salmonicida LFI1238,25,22,1,2
GCF_002874845.2,Vibrio cyclitrophicus,25,21,1,3
GCF_023151555.2,Photobacterium sp. CCB-ST2H9,25,23,0,2
GCF_035758505.1,Grimontia sp. NTOU-MAR1,25,20,1,4
GCF_038452265.1,Vibrio diazotrophicus,25,24,1,0
GCF_040412085.2,Vibrio chaetopteri,25,23,1,1
GCF_001680065.1,Vibrio natriegens,24,22,1,1
GCF_041879395.1,Vibrio cyclitrophicus,24,21,1,2
GCF_045679545.1,Enterovibrio litoreus,24,23,1,0
GCF_057439805.1,Vibrio tubiashii,24,22,1,1
GCF_002875015.2,Vibrio cyclitrophicus,23,18,1,4
GCF_057439755.1,Vibrio tubiashii,23,21,1,1
GCF_001680085.1,Vibrio natriegens,22,18,1,3
GCF_002214345.1,Vibrio mediterranei,22,20,1,1
GCF_057439875.1,Vibrio coralliilyticus,22,18,0,4
GCF_020717785.1,Vibrio diabolicus,21,20,1,0
GCF_028551255.1,Vibrio tubiashii,21,18,0,3
GCF_056531025.1,Vibrio diabolicus,21,19,1,1
GCF_002872815.2,Vibrio cyclitrophicus,20,17,0,3
GCF_024347055.1,Vibrio porteresiae DSM 19223,20,17,0,3
GCF_041714635.1,Vibrio porteresiae,20,17,0,3
GCF_058545285.1,Vibrio sp. KMM 9700,20,18,1,1
GCF_059683745.1,Vibrio campbellii,20,18,1,1
GCF_001679745.1,Vibrio alginolyticus,19,17,1,1
GCF_026001925.1,Vibrio gangliei,19,16,3,0
GCF_027924785.1,Vibrio nigripulchritudo,18,15,1,2
GCF_027924845.1,Vibrio nigripulchritudo,18,15,1,2
GCF_057785975.1,Vibrio sp. QJM3NY_21,18,14,0,4
GCF_059641095.1,Vibrio coralliilyticus,18,17,0,1
GCF_016920955.1,Vibrio sp. sp1,17,16,1,0
GCF_053515815.1,Vibrio furnissii,17,14,1,2
GCF_057785915.1,Vibrio sp. QJM3NY_35,17,15,1,1
GCF_002874615.2,Vibrio cyclitrophicus,16,13,1,2
GCF_047497145.1,Vibrio alginolyticus,16,14,1,1
GCF_905175385.1,Vibrio sp. B1FLJ16,16,14,1,1
GCF_002873935.2,Vibrio cyclitrophicus,15,12,1,2
GCF_002875465.2,Vibrio cyclitrophicus,15,12,1,2
GCF_005144905.1,Vibrio cyclitrophicus,15,13,0,2
GCF_009763405.1,Vibrio parahaemolyticus,15,14,1,0
GCF_022832815.1,Vibrio natriegens,15,14,1,0
GCF_014083925.1,Vibrio spartinae,14,8,0,6
GCF_000091465.1,Vibrio atlanticus,13,10,1,2
GCF_000763535.1,Vibrio coralliilyticus,13,11,0,2
GCF_002196515.1,Vibrio gazogenes,13,7,0,6
GCF_002872705.2,Vibrio cyclitrophicus,13,9,0,4
GCF_016812015.1,Vibrio diabolicus,13,12,1,0
GCF_023716845.1,Vibrio sp. SCSIO 43133,13,11,1,1
GCF_024346675.1,Photobacterium sanguinicancri,13,12,1,0
GCF_024346715.1,Photobacterium swingsii,13,11,1,1
GCF_030297535.1,Vibrio fluvialis,13,7,3,3
GCF_038695265.1,Vibrio tritonius,13,10,1,2
GCF_057418845.1,Salinivibrio costicola,13,10,0,3
GCF_057418855.1,Salinivibrio costicola,13,10,0,3
GCF_002873745.2,Vibrio cyclitrophicus,12,10,1,1
GCF_003443775.1,Vibrio sp. dhg,12,9,1,2
GCF_023746615.1,Grimontia kaedaensis,12,7,1,4
GCF_054053395.1,Vibrio paucivorans,12,9,1,2
GCF_000801275.2,Vibrio nigripulchritudo,11,8,1,2
GCF_002850295.1,Vibrio harveyi,11,8,1,2
GCF_002873825.2,Vibrio cyclitrophicus,11,9,0,2
GCF_002874905.2,Vibrio cyclitrophicus,11,9,1,1
GCF_002876425.2,Vibrio cyclitrophicus,11,8,1,2
GCF_015097735.1,Vibrio nigripulchritudo,11,9,1,1
GCF_023716665.1,Vibrio sp. SCSIO 43135,11,8,0,3
GCF_024347035.1,Vibrio plantisponsor,11,10,1,0
GCF_027924725.1,Vibrio nigripulchritudo,11,9,1,1
GCF_028898665.1,Vibrio harveyi,11,9,1,1
GCF_051132395.1,Vibrio chagasii,11,8,2,1
GCF_060345765.1,Vibrio methylphosphonaticus,11,9,1,1
GCF_964198015.1,Vibrio splendidus,11,8,1,2
GCF_002796765.2,Vibrio fluvialis,10,7,2,1
GCF_003716875.1,Vibrio zhugei,10,8,1,1
GCF_005280275.1,Salinivibrio kushneri,10,7,1,2
GCF_009363355.1,Vibrio sp. THAF190c,10,7,0,3
GCF_021441885.1,Vibrio maritimus,10,8,0,2
GCF_023206035.1,Vibrio cyclitrophicus,10,7,0,3
GCF_024347155.1,Vibrio zhugei,10,8,1,1
GCF_028898925.1,Vibrio fluvialis,10,6,1,3
GCF_000256265.3,Vibrio cyclitrophicus ZF14,9,6,0,3
GCF_001547935.1,Vibrio tritonius,9,6,1,2
GCF_002873285.2,Vibrio cyclitrophicus,9,7,0,2
GCF_009665335.1,Vibrio furnissii,9,6,0,3
GCF_009763785.1,Vibrio fluvialis,9,5,1,3
GCF_010587385.1,Vibrio astriarenae,9,7,1,1
GCF_023221655.1,Vibrio crassostreae,9,6,1,2
GCF_057418905.1,Salinivibrio costicola,9,6,0,3
GCF_001952955.1,Vibrio fluvialis,8,5,1,2
GCF_003726935.1,Vibrio mediterranei,8,6,1,1
GCF_013181325.1,Vibrio fluvialis,8,5,1,2
GCF_022811945.1,Vibrio splendidus,8,6,0,2
GCF_027286345.1,Salinivibrio kushneri,8,6,1,1
GCF_027286365.1,Salinivibrio proteolyticus,8,6,1,1
GCF_027286385.1,Salinivibrio kushneri,8,6,1,1
GCF_028621875.1,Photobacterium sp. GSS17,8,6,0,2
GCF_029223585.1,Photobacterium sp. DA100,8,6,0,2
GCF_030991385.1,Vibrio alginolyticus,8,6,1,1
GCF_034480175.1,Vibrio alginolyticus,8,6,1,1
GCF_057418915.1,Salinivibrio costicola,8,6,0,2
GCF_057785955.1,Vibrio sp. QJM3NY_27,8,6,0,2
GCF_003345295.1,Vibrio splendidus,7,4,0,3
GCF_009601765.2,Vibrio algicola,7,4,0,3
GCF_009763465.1,Vibrio fluvialis,7,5,2,0
GCF_019904195.1,Vibrio sp. SCSIO 43132,7,5,1,1
GCF_023503985.1,Vibrio sp. J383,7,5,0,2
GCF_024347355.1,Vibrio chagasii,7,4,1,2
GCF_024347415.1,Vibrio crassostreae,7,6,0,1
GCF_030062095.1,Vibrio furnissii,7,5,0,2
GCF_055808915.1,Vibrio splendidus,7,5,0,2
GCF_002874035.2,Vibrio cyclitrophicus,6,4,0,2
GCF_002877465.2,Vibrio cyclitrophicus,6,4,0,2
GCF_020806305.2,Vibrio sp. F13,6,5,1,0
GCF_024347475.1,Vibrio fortis,6,4,0,2
GCF_027286325.1,Salinivibrio kushneri,6,4,1,1
GCF_030144385.1,Vibrio fluvialis,6,3,1,2
GCF_042245395.1,Vibrio iocasae,6,4,1,1
GCF_046532705.1,Vibrio chagasii,6,5,0,1
GCF_057439745.1,Vibrio tubiashii,6,5,0,1
GCF_001456255.1,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,5,4,1,0
GCF_002119525.1,Vibrio syngnathi,5,3,1,1
GCF_009938165.1,Vibrio taketomensis,5,3,1,1
GCF_009938185.1,Vibrio taketomensis,5,3,1,1
GCF_009938205.1,Vibrio panuliri,5,4,0,1
GCF_011765565.1,Salinivibrio costicola,5,3,0,2
GCF_023920225.1,Vibrio gazogenes,5,3,0,2
GCF_024346915.1,Vibrio gazogenes,5,3,0,2
GCF_024347135.1,Vibrio spartinae,5,3,0,2
GCF_024347435.1,Vibrio cyclitrophicus,5,4,0,1
GCF_024347575.1,Vibrio pelagius,5,3,1,1
GCF_024508015.1,Vibrio natriegens,5,4,1,0
GCF_030563405.1,Vibrio sp. SNU_ST1,5,3,1,1
GCF_030994065.1,Vibrio fluvialis,5,3,1,1
GCF_034480385.1,Vibrio fluvialis,5,3,1,1
GCF_035621455.1,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,5,4,1,0
GCF_037746055.1,Vibrio natriegens,5,4,1,0
GCF_038442155.1,Vibrio cyclitrophicus ZF270,5,4,0,1
GCF_041860215.1,Vibrio gazogenes,5,3,0,2
GCF_049187005.1,Vibrio natriegens,5,4,1,0
GCF_049563345.1,Vibrio mytili,5,3,0,2
GCF_054110305.1,Vibrio natriegens,5,4,1,0
GCF_056097205.1,Vibrio splendidus,5,3,0,2
GCF_057785995.1,Vibrio sp. QJM3NY_15,5,3,0,2
GCF_057786005.1,Vibrio sp. QJM3NY_26,5,3,0,2
GCF_059739265.1,Vibrio superstes,5,4,0,1
GCF_060497015.1,Vibrio fluvialis,5,4,1,0
GCF_001558415.2,Vibrio fluvialis,4,2,1,1
GCF_001680025.1,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,4,3,0,1
GCF_001680045.1,Vibrio natriegens,4,3,0,1
GCF_002218045.2,Vibrio rumoiensis,4,3,0,1
GCF_002874015.2,Vibrio cyclitrophicus,4,3,0,1
GCF_004916735.1,Salinivibrio sp. YCSC6,4,2,0,2
GCF_009763185.1,Vibrio fluvialis,4,2,0,2
GCF_011064285.1,Vibrio ziniensis,4,3,1,0
GCF_014775695.1,Photobacterium damselae subsp. piscicida,4,2,0,2
GCF_014879975.1,Vibrio bathopelagicus,4,3,0,1
GCF_018140575.1,Vibrio fluvialis,4,3,1,0
GCF_021432065.1,Photobacterium sp. TLY01,4,2,0,2
GCF_024347375.1,Vibrio coralliirubri,4,3,1,0
GCF_024347515.1,Vibrio gigantis,4,3,0,1
GCF_024347635.1,Vibrio tasmaniensis,4,3,1,0
GCF_024494545.1,Photobacterium toruni,4,3,1,0
GCF_030169025.1,Photobacterium damselae,4,2,0,2
GCF_031884875.1,Vibrio ruber,4,3,0,1
GCF_033947405.2,Vibrio fluvialis,4,2,1,1
GCF_036825535.1,Parasalinivibrio latis,4,2,1,1
GCF_041879425.1,Vibrio pomeroyi,4,3,1,0
GCF_052955985.1,Vibrio sp. B1Z05,4,3,0,1
GCF_053202905.1,Photobacterium damselae subsp. piscicida,4,2,0,2
GCF_055808855.1,Vibrio sp. GJ41-3,4,3,0,1
GCF_057418875.1,Salinivibrio kushneri,4,3,0,1
GCF_058105105.1,Vibrio spartinae,4,2,0,2
GCF_058410825.1,Photobacterium damselae subsp. piscicida,4,2,0,2
GCF_059725505.1,Vibrio sp. KUL78,4,2,1,1
GCF_059740915.1,Photobacterium damselae subsp. damselae,4,2,0,2
GCF_900233005.1,Vibrio tapetis subsp. tapetis,4,3,0,1
GCF_002157735.2,Vibrio aphrogenes,3,2,0,1
GCF_002218025.2,Vibrio casei,3,1,1,1
GCF_023716585.1,Vibrio sp. SCSIO 43140,3,2,1,0
GCF_024347075.1,Vibrio rarus,3,2,0,1
GCF_024347595.1,Vibrio pomeroyi,3,2,0,1
GCF_024347615.1,Vibrio splendidus,3,2,0,1
GCF_024529955.1,Photobacterium toruni,3,2,0,1
GCF_025264605.1,Vibrio splendidus,3,2,0,1
GCF_026639315.1,Vibrio alginolyticus,3,1,2,0
GCF_029910115.1,Vibrio lentus,3,2,0,1
GCF_049315015.1,Photobacterium leiognathi subsp. mandapamensis,3,2,0,1
GCF_051201655.1,Vibrio sp. nBUS_14,3,1,2,0
GCF_057418885.1,Salinivibrio kushneri,3,2,0,1
GCF_057786035.1,Enterovibrio sp. QJM3NY_24,3,2,1,0
GCF_059725495.1,Vibrio sp. KUL80,3,1,1,1
GCF_001677275.1,Vibrio breoganii,2,1,0,1
GCF_002142615.1,Photobacterium damselae subsp. damselae,2,1,0,1
GCF_002356235.1,Photobacterium damselae subsp. piscicida,2,1,0,1
GCF_002953375.1,Vibrio fluvialis,2,1,0,1
GCF_004135105.1,Photobacterium damselae subsp. damselae,2,1,0,1
GCF_009363415.1,Vibrio aquimaris,2,1,0,1
GCF_009764215.1,Vibrio fluvialis,2,0,2,0
GCF_015594925.2,Vibrio sp. VB16,2,1,0,1
GCF_017329545.1,Photobacterium ganghwense,2,1,0,1
GCF_019226825.1,Vibrio ostreae,2,1,0,1
GCF_019703835.1,Thaumasiovibrio subtropicus,2,1,0,1
GCF_021768365.1,Photobacterium damselae subsp. damselae,2,1,0,1
GCF_021768405.1,Photobacterium damselae subsp. damselae,2,1,0,1
GCF_022371215.1,Vibrio gigantis,2,1,0,1
GCF_024346755.1,Vibrio aerogenes,2,1,0,1
GCF_024346795.1,Vibrio breoganii,2,1,1,0
GCF_024347015.1,Vibrio pectenicida,2,1,0,1
GCF_037997135.1,Photobacterium damselae subsp. piscicida,2,1,0,1
GCF_040957575.1,Vibrio sp. HB236076,2,1,0,1
GCF_048537445.1,Photobacterium leiognathi subsp. mandapamensis,2,1,1,0
GCF_048537505.1,Photobacterium leiognathi subsp. mandapamensis,2,1,1,0
GCF_048537525.1,Photobacterium leiognathi subsp. mandapamensis,2,1,1,0
GCF_051858925.1,Salinivibrio costicola,2,1,0,1
GCF_055390995.1,Vibrio sabulosilitoris,2,1,1,0
GCF_055391395.1,Vibrio sabulosilitoris,2,1,1,0
GCF_056234105.1,Photobacterium damselae subsp. piscicida,2,1,0,1
GCF_056234175.1,Photobacterium damselae subsp. piscicida,2,1,0,1
GCF_056836685.1,Photobacterium damselae subsp. damselae,2,1,0,1
GCF_057785895.1,Vibrio sp. QJM3NY_39,2,1,0,1
GCF_057785935.1,Vibrio sp. QJM3NY_34,2,1,0,1
GCF_058072945.1,Photobacterium leiognathi subsp. mandapamensis,2,1,1,0
GCF_059740845.1,Photobacterium damselae subsp. damselae,2,1,0,1
GCF_059920555.1,Photobacterium panuliri,2,1,1,0
GCF_965140425.1,Photobacterium ganghwense,2,1,0,1
GCF_001558255.2,Grimontia hollisae,1,0,1,0
GCF_009764195.1,Vibrio fluvialis,1,0,1,0
GCF_024347315.1,Vibrio atlanticus,1,0,1,0
GCF_024362845.1,Vibrio pelagius,1,0,1,0
GCF_029962385.1,Vibrio sp. ABG19,1,0,1,0
GCF_057418865.1,Salinivibrio kushneri,1,0,1,0
GCF_000017705.1,Vibrio campbellii ATCC BAA-1116,0,0,0,0
GCF_000196255.1,Photobacterium profundum SS9,0,0,0,0
GCF_000464435.1,Vibrio campbellii ATCC BAA-1116,0,0,0,0
GCF_001708035.2,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_002216855.1,Paraphotobacterium marinum,0,0,0,0
GCF_002874945.2,Vibrio cyclitrophicus,0,0,0,0
GCF_002877505.2,Vibrio cyclitrophicus,0,0,0,0
GCF_003130755.1,Photobacterium damselae,0,0,0,0
GCF_009665295.1,Grimontia hollisae,0,0,0,0
GCF_009763125.1,Photobacterium damselae,0,0,0,0
GCF_009763585.1,Grimontia hollisae,0,0,0,0
GCF_009764155.1,Grimontia hollisae,0,0,0,0
GCF_009938225.1,Vibrio ponticus,0,0,0,0
GCF_014930975.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_018199995.1,Photobacterium sp. GJ3,0,0,0,0
GCF_021765875.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_021766015.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_021768305.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_021768345.1,Photobacterium damselae subsp. damselae,0,0,0,0
