genome_a,genome_b,species_a,species_b,mash_dist,n_shared,mtf_distance,random_mean
GCF_001887615.1,GCF_030718765.1,Vibrio cholerae,Vibrio cholerae,0.00241,79,78,77.42
GCF_001887615.1,GCF_030718785.1,Vibrio cholerae,Vibrio cholerae,0.03548,23,22,21.19
GCF_001887615.1,GCF_032027525.2,Vibrio cholerae,Vibrio cholerae,0.01758,18,16,16.26
GCF_001887615.1,GCF_032841475.3,Vibrio cholerae,Vibrio cholerae,0.01627,17,14,15.42
GCF_001887615.1,GCF_033803245.2,Vibrio cholerae,Vibrio cholerae,0.03313,17,13,15.42
GCF_001887615.1,GCF_034008165.1,Vibrio cholerae,Vibrio cholerae,0.00307,77,76,75.31
GCF_001887615.1,GCF_034008175.1,Vibrio cholerae,Vibrio cholerae,0.00230,77,76,75.31
GCF_001887615.1,GCF_034428235.1,Vibrio cholerae,Vibrio alfacsensis,0.23381,10,9,8.35
GCF_001887615.1,GCF_036553415.2,Vibrio cholerae,Vibrio mimicus,0.10450,10,9,8.35
GCF_001887615.1,GCF_037101305.1,Vibrio cholerae,Vibrio cholerae,0.01911,22,19,20.38
GCF_001887615.1,GCF_039602145.1,Vibrio cholerae,Vibrio cholerae,0.01856,16,12,14.40
GCF_001887615.1,GCF_040412195.1,Vibrio cholerae,Vibrio cholerae,0.00275,79,77,77.42
GCF_001887615.1,GCF_040556435.1,Vibrio cholerae,Vibrio cholerae,0.00159,71,32,69.46
GCF_001887615.1,GCF_040588515.1,Vibrio cholerae,Vibrio metschnikovii,0.23644,11,10,9.41
GCF_001887615.1,GCF_040735825.1,Vibrio cholerae,Vibrio cholerae,0.01850,13,8,11.43
GCF_001887615.1,GCF_041834225.2,Vibrio cholerae,Vibrio cholerae,0.00241,79,78,77.42
GCF_001887615.1,GCF_042604665.1,Vibrio cholerae,Vibrio cholerae,0.00309,75,32,73.31
GCF_001887615.1,GCF_043754845.1,Vibrio cholerae,Vibrio cholerae,0.00205,69,5,67.28
GCF_001887615.1,GCF_043755855.1,Vibrio cholerae,Vibrio cholerae,0.00205,76,34,74.42
GCF_001887615.1,GCF_043756065.1,Vibrio cholerae,Vibrio cholerae,0.00184,77,36,75.31
GCF_001887615.1,GCF_043756335.1,Vibrio cholerae,Vibrio cholerae,0.00206,75,34,73.31
GCF_001887615.1,GCF_043757505.1,Vibrio cholerae,Vibrio cholerae,0.00209,71,40,69.46
GCF_001887615.1,GCF_043757815.1,Vibrio cholerae,Vibrio cholerae,0.00180,82,41,80.09
GCF_001887615.1,GCF_043758405.1,Vibrio cholerae,Vibrio cholerae,0.00200,76,34,74.42
GCF_001887615.1,GCF_043759795.1,Vibrio cholerae,Vibrio cholerae,0.00205,75,34,73.31
GCF_001887615.1,GCF_043760105.1,Vibrio cholerae,Vibrio cholerae,0.00200,82,41,80.09
GCF_001887615.1,GCF_043760675.1,Vibrio cholerae,Vibrio cholerae,0.00200,85,43,83.35
GCF_001887615.1,GCF_043762865.1,Vibrio cholerae,Vibrio cholerae,0.00201,80,39,78.34
GCF_001887615.1,GCF_043763295.1,Vibrio cholerae,Vibrio cholerae,0.00201,84,43,82.22
GCF_001887615.1,GCF_043763905.1,Vibrio cholerae,Vibrio cholerae,0.00201,75,35,73.31
GCF_001887615.1,GCF_043765735.1,Vibrio cholerae,Vibrio cholerae,0.00200,84,43,82.22
GCF_001887615.1,GCF_043766185.1,Vibrio cholerae,Vibrio cholerae,0.00184,73,32,71.36
GCF_001887615.1,GCF_043766955.1,Vibrio cholerae,Vibrio cholerae,0.00202,85,43,83.35
GCF_001887615.1,GCF_043769025.1,Vibrio cholerae,Vibrio cholerae,0.00173,76,34,74.42
GCF_001887615.1,GCF_044343075.1,Vibrio cholerae,Vibrio cholerae,0.00207,73,32,71.36
GCF_001887615.1,GCF_044343085.1,Vibrio cholerae,Vibrio cholerae,0.00218,77,34,75.31
GCF_001887615.1,GCF_044343165.1,Vibrio cholerae,Vibrio cholerae,0.00232,76,74,74.42
GCF_001887615.1,GCF_044905045.1,Vibrio cholerae,Vibrio cholerae,0.00301,80,36,78.34
GCF_001887615.1,GCF_044905055.1,Vibrio cholerae,Vibrio cholerae,0.00290,77,65,75.31
GCF_001887615.1,GCF_045348105.1,Vibrio cholerae,Vibrio vulnificus,0.21588,13,9,11.43
GCF_001887615.1,GCF_045689275.1,Vibrio cholerae,Vibrio cholerae,0.01928,22,18,20.38
GCF_001887615.1,GCF_045689325.1,Vibrio cholerae,Vibrio cholerae V52,0.00573,65,21,63.39
GCF_001887615.1,GCF_046097525.1,Vibrio cholerae,Vibrio cholerae,0.01935,14,12,12.43
GCF_001887615.1,GCF_046532655.1,Vibrio cholerae,Vibrio vulnificus,0.21677,11,9,9.41
GCF_001887615.1,GCF_046736365.1,Vibrio cholerae,Vibrio cholerae C6706,0.00219,74,32,72.28
GCF_001887615.1,GCF_046850195.1,Vibrio cholerae,Vibrio aestuarianus subsp. francensis,0.22780,16,15,14.40
GCF_001887615.1,GCF_047221425.1,Vibrio cholerae,Vibrio cholerae,0.01796,10,8,8.35
GCF_001887615.1,GCF_047524955.2,Vibrio cholerae,Vibrio cholerae,0.00307,77,76,75.31
GCF_001887615.1,GCF_049315005.1,Vibrio cholerae,Vibrio anguillarum,0.21090,10,8,8.35
GCF_001887615.1,GCF_050500225.1,Vibrio cholerae,Vibrio cholerae,0.00237,78,35,76.31
GCF_001887615.1,GCF_051046905.1,Vibrio cholerae,Vibrio cholerae,0.01866,18,17,16.26
GCF_001887615.1,GCF_051352415.1,Vibrio cholerae,Vibrio cidicii,0.20360,17,16,15.42
GCF_001887615.1,GCF_051903285.1,Vibrio cholerae,Vibrio cholerae,0.00580,53,15,51.15
GCF_001887615.1,GCF_051903295.1,Vibrio cholerae,Vibrio cholerae,0.00580,55,17,53.28
GCF_001887615.1,GCF_052271875.1,Vibrio cholerae,Vibrio cholerae,0.00581,56,17,54.25
GCF_001887615.1,GCF_052545415.1,Vibrio cholerae,Vibrio cholerae,0.01639,13,12,11.43
GCF_001887615.1,GCF_052956585.1,Vibrio cholerae,Vibrio cholerae,0.00248,78,37,76.31
GCF_001887615.1,GCF_053202865.1,Vibrio cholerae,Vibrio cholerae,0.01971,23,22,21.19
GCF_001887615.1,GCF_053220475.1,Vibrio cholerae,Vibrio cholerae,0.01668,18,15,16.26
GCF_001887615.1,GCF_053220495.1,Vibrio cholerae,Vibrio cholerae,0.01787,20,17,18.30
GCF_001887615.1,GCF_053220515.1,Vibrio cholerae,Vibrio cholerae,0.01644,22,20,20.38
GCF_001887615.1,GCF_053220535.1,Vibrio cholerae,Vibrio cholerae,0.01806,19,18,17.29
GCF_001887615.1,GCF_053220555.1,Vibrio cholerae,Vibrio cholerae,0.01914,24,20,22.24
GCF_001887615.1,GCF_053220575.1,Vibrio cholerae,Vibrio cholerae,0.01914,24,20,22.24
GCF_001887615.1,GCF_053220585.1,Vibrio cholerae,Vibrio cholerae,0.01675,17,16,15.42
GCF_001887615.1,GCF_053220615.1,Vibrio cholerae,Vibrio cholerae,0.01787,22,19,20.38
GCF_001887615.1,GCF_053220635.1,Vibrio cholerae,Vibrio cholerae,0.01718,22,19,20.38
GCF_001887615.1,GCF_053220655.1,Vibrio cholerae,Vibrio cholerae,0.01744,23,21,21.19
GCF_001887615.1,GCF_053220675.1,Vibrio cholerae,Vibrio cholerae,0.01711,22,21,20.38
GCF_001887615.1,GCF_053220695.1,Vibrio cholerae,Vibrio cholerae,0.01741,18,17,16.26
GCF_001887615.1,GCF_053220715.1,Vibrio cholerae,Vibrio cholerae,0.01711,22,20,20.38
GCF_001887615.1,GCF_054112565.1,Vibrio cholerae,Vibrio metschnikovii,0.23511,16,14,14.40
GCF_001887615.1,GCF_054906185.1,Vibrio cholerae,Vibrio cholerae,0.01709,20,18,18.30
GCF_001887615.1,GCF_055797365.1,Vibrio cholerae,Vibrio cholerae,0.01890,13,11,11.43
GCF_001887615.1,GCF_056770475.1,Vibrio cholerae,Vibrio cholerae,0.00307,80,36,78.34
GCF_001887615.1,GCF_056770485.1,Vibrio cholerae,Vibrio cholerae,0.00236,80,36,78.34
GCF_001887615.1,GCF_056770535.1,Vibrio cholerae,Vibrio cholerae,0.00337,80,36,78.34
GCF_001887615.1,GCF_056770545.1,Vibrio cholerae,Vibrio cholerae,0.00237,80,36,78.34
GCF_001887615.1,GCF_056770575.1,Vibrio cholerae,Vibrio cholerae,0.00236,80,36,78.34
GCF_001887615.1,GCF_056820805.1,Vibrio cholerae,Vibrio vulnificus,0.21250,14,10,12.43
GCF_001887615.1,GCF_058215515.1,Vibrio cholerae,Vibrio cholerae,0.01685,16,14,14.40
GCF_001887615.1,GCF_900205735.1,Vibrio cholerae,Vibrio cholerae O1 biovar El Tor str. N16961,0.00184,75,33,73.31
GCF_001887615.1,GCF_900324425.1,Vibrio cholerae,Vibrio cholerae,0.00290,72,29,70.29
GCF_001887615.1,GCF_900324435.1,Vibrio cholerae,Vibrio cholerae,0.03393,16,12,14.40
GCF_001887615.1,GCF_900324445.1,Vibrio cholerae,Vibrio cholerae,0.00290,72,29,70.29
GCF_001887615.1,GCF_900324455.1,Vibrio cholerae,Vibrio cholerae,0.00290,72,29,70.29
GCF_001887615.1,GCF_900538065.1,Vibrio cholerae,Vibrio paracholerae,0.03581,21,20,19.45
GCF_001887615.1,GCF_937000105.1,Vibrio cholerae,Vibrio cholerae,0.00307,79,35,77.42
GCF_001887615.1,GCF_937000115.1,Vibrio cholerae,Vibrio cholerae,0.01911,11,8,9.41
GCF_001887635.1,GCF_001887655.1,Vibrio cholerae,Vibrio cholerae,0.00155,76,61,74.42
GCF_001887635.1,GCF_002073335.2,Vibrio cholerae,Vibrio cholerae,0.00108,72,53,70.29
GCF_001887635.1,GCF_002212025.1,Vibrio cholerae,Vibrio anguillarum,0.20935,13,11,11.43
GCF_001887635.1,GCF_002257545.1,Vibrio cholerae,Vibrio qinghaiensis,0.20293,10,6,8.35
GCF_001887635.1,GCF_002749635.1,Vibrio cholerae,Vibrio cholerae,0.00129,74,55,72.28
GCF_001887635.1,GCF_002892855.1,Vibrio cholerae,Vibrio cholerae,0.00143,72,53,70.29
GCF_001887635.1,GCF_002946655.1,Vibrio cholerae,Vibrio cholerae O1 biovar El Tor,0.00165,61,51,59.39
GCF_001887635.1,GCF_002997215.1,Vibrio cholerae,Vibrio cholerae,0.00143,72,53,70.29
GCF_001887635.1,GCF_003063785.1,Vibrio cholerae,Vibrio cholerae,0.00108,72,53,70.29
GCF_001887635.1,GCF_003063885.1,Vibrio cholerae,Vibrio cholerae,0.01759,10,9,8.35
GCF_001887635.1,GCF_003097695.1,Vibrio cholerae,Vibrio cholerae,0.00144,72,53,70.29
GCF_001887635.1,GCF_003574155.1,Vibrio cholerae,Vibrio cholerae,0.00140,54,44,52.20
GCF_001887635.1,GCF_003719755.1,Vibrio cholerae,Vibrio cholerae,0.00277,60,59,58.24
GCF_001887635.1,GCF_004328575.1,Vibrio cholerae,Vibrio cholerae,0.01491,17,12,15.42
GCF_001887635.1,GCF_008369605.1,Vibrio cholerae,Vibrio cholerae,0.01654,12,9,10.26
GCF_001887635.1,GCF_009646135.1,Vibrio cholerae,Vibrio cholerae O395,0.00514,45,27,43.23
GCF_001887635.1,GCF_009665195.1,Vibrio cholerae,Vibrio mimicus,0.10374,12,11,10.26
GCF_001887635.1,GCF_009665275.1,Vibrio cholerae,Vibrio metoecus,0.08714,13,9,11.43
GCF_001887635.1,GCF_009762915.1,Vibrio cholerae,Vibrio cholerae,0.01897,12,11,10.26
GCF_001887635.1,GCF_009762965.1,Vibrio cholerae,Vibrio cholerae,0.01850,14,13,12.43
GCF_001887635.1,GCF_009762985.1,Vibrio cholerae,Vibrio cholerae,0.00198,46,36,44.09
GCF_001887635.1,GCF_009763065.1,Vibrio cholerae,Vibrio cholerae,0.01754,14,12,12.43
GCF_001887635.1,GCF_009763825.1,Vibrio cholerae,Vibrio cholerae,0.00259,55,45,53.28
GCF_001887635.1,GCF_009763945.1,Vibrio cholerae,Vibrio cholerae C6706,0.00143,71,69,69.46
GCF_001887635.1,GCF_009799825.1,Vibrio cholerae,Vibrio cholerae,0.00229,59,49,57.17
GCF_001887635.1,GCF_009938115.1,Vibrio cholerae,Vibrio cholerae O1,0.00991,31,11,29.41
GCF_001887635.1,GCF_013085075.1,Vibrio cholerae,Vibrio cholerae C6706,0.00144,71,52,69.46
GCF_001887635.1,GCF_013085105.1,Vibrio cholerae,Vibrio cholerae O1 biovar El Tor,0.00146,71,52,69.46
GCF_001887635.1,GCF_013085125.1,Vibrio cholerae,Vibrio cholerae O1 biovar El Tor,0.00109,70,51,68.18
GCF_001887635.1,GCF_013085145.1,Vibrio cholerae,Vibrio cholerae O1 biovar El Tor,0.00179,60,50,58.24
GCF_001887635.1,GCF_013085165.1,Vibrio cholerae,Vibrio cholerae O1 biovar El Tor,0.00130,73,54,71.36
GCF_001887635.1,GCF_013357605.1,Vibrio cholerae,Vibrio cholerae,0.01564,16,9,14.40
GCF_001887635.1,GCF_013357625.1,Vibrio cholerae,Vibrio cholerae,0.01808,16,15,14.40
GCF_001887635.1,GCF_013357645.1,Vibrio cholerae,Vibrio cholerae,0.01739,16,15,14.40
GCF_001887635.1,GCF_013357665.1,Vibrio cholerae,Vibrio cholerae,0.01684,17,13,15.42
GCF_001887635.1,GCF_013357685.1,Vibrio cholerae,Vibrio cholerae,0.01889,13,11,11.43
GCF_001887635.1,GCF_013357725.1,Vibrio cholerae,Vibrio cholerae,0.01827,10,8,8.35
GCF_001887635.1,GCF_013357745.1,Vibrio cholerae,Vibrio cholerae,0.01886,10,8,8.35
GCF_001887635.1,GCF_013357785.1,Vibrio cholerae,Vibrio cholerae,0.02023,14,12,12.43
GCF_001887635.1,GCF_013357805.1,Vibrio cholerae,Vibrio cholerae,0.02024,14,12,12.43
GCF_001887635.1,GCF_013357825.1,Vibrio cholerae,Vibrio cholerae,0.01969,12,7,10.26
GCF_001887635.1,GCF_013357845.1,Vibrio cholerae,Vibrio cholerae,0.02012,16,11,14.40
GCF_001887635.1,GCF_013357865.1,Vibrio cholerae,Vibrio cholerae,0.01939,12,6,10.26
GCF_001887635.1,GCF_013357885.1,Vibrio cholerae,Vibrio cholerae,0.01822,17,16,15.42
GCF_001887635.1,GCF_013462495.1,Vibrio cholerae,Vibrio cholerae,0.00317,55,45,53.28
GCF_001887635.1,GCF_015482825.1,Vibrio cholerae,Vibrio cholerae C6706,0.00144,71,52,69.46
GCF_001887635.1,GCF_015767675.1,Vibrio cholerae,Vibrio navarrensis,0.20227,13,11,11.43
GCF_001887635.1,GCF_017948285.1,Vibrio cholerae,Vibrio cholerae,0.00143,72,53,70.29
GCF_001887635.1,GCF_017948345.1,Vibrio cholerae,Vibrio cholerae MO10,0.00233,55,45,53.28
GCF_001887635.1,GCF_018336415.1,Vibrio cholerae,Vibrio cholerae O37,0.00511,53,34,51.15
GCF_001887635.1,GCF_019458445.1,Vibrio cholerae,Vibrio cholerae,0.00142,60,50,58.24
GCF_001887635.1,GCF_019458465.1,Vibrio cholerae,Vibrio cholerae,0.01656,20,14,18.30
GCF_001887635.1,GCF_019704235.1,Vibrio cholerae,Vibrio cholerae,0.00174,58,57,56.23
GCF_001887635.1,GCF_019704255.1,Vibrio cholerae,Vibrio cholerae,0.00163,60,55,58.24
GCF_001887635.1,GCF_021431865.1,Vibrio cholerae,Vibrio cholerae,0.00187,60,59,58.24
GCF_001887635.1,GCF_021431945.1,Vibrio cholerae,Vibrio cholerae,0.01726,16,14,14.40
GCF_001887635.1,GCF_024734685.1,Vibrio cholerae,Vibrio cholerae,0.00172,60,50,58.24
GCF_001887635.1,GCF_026013235.1,Vibrio cholerae,Vibrio cholerae,0.01509,16,15,14.40
GCF_001887635.1,GCF_030062725.1,Vibrio cholerae,Vibrio cholerae,0.00119,58,57,56.23
GCF_001887635.1,GCF_030718725.1,Vibrio cholerae,Vibrio cholerae,0.00179,60,50,58.24
GCF_001887635.1,GCF_030718745.1,Vibrio cholerae,Vibrio cholerae,0.00179,60,50,58.24
GCF_001887635.1,GCF_030718765.1,Vibrio cholerae,Vibrio cholerae,0.00180,60,59,58.24
GCF_001887635.1,GCF_030718785.1,Vibrio cholerae,Vibrio cholerae,0.03495,14,13,12.43
GCF_001887635.1,GCF_032027525.2,Vibrio cholerae,Vibrio cholerae,0.01707,10,8,8.35
GCF_001887635.1,GCF_032841475.3,Vibrio cholerae,Vibrio cholerae,0.01576,10,7,8.35
GCF_001887635.1,GCF_033803245.2,Vibrio cholerae,Vibrio cholerae,0.03264,11,9,9.41
GCF_001887635.1,GCF_034008165.1,Vibrio cholerae,Vibrio cholerae,0.00246,59,58,57.17
GCF_001887635.1,GCF_034008175.1,Vibrio cholerae,Vibrio cholerae,0.00167,59,58,57.17
GCF_001887635.1,GCF_037101305.1,Vibrio cholerae,Vibrio cholerae,0.01856,16,14,14.40
GCF_001887635.1,GCF_039602145.1,Vibrio cholerae,Vibrio cholerae,0.01793,11,10,9.41
GCF_001887635.1,GCF_040412195.1,Vibrio cholerae,Vibrio cholerae,0.00212,59,58,57.17
GCF_001887635.1,GCF_040556435.1,Vibrio cholerae,Vibrio cholerae,0.00110,42,34,40.36
GCF_001887635.1,GCF_040735825.1,Vibrio cholerae,Vibrio cholerae,0.01780,12,6,10.26
GCF_001887635.1,GCF_041834225.2,Vibrio cholerae,Vibrio cholerae,0.00186,60,59,58.24
GCF_001887635.1,GCF_042604665.1,Vibrio cholerae,Vibrio cholerae,0.00248,56,46,54.25
GCF_001887635.1,GCF_043754845.1,Vibrio cholerae,Vibrio cholerae,0.00156,39,22,37.39
GCF_001887635.1,GCF_043755855.1,Vibrio cholerae,Vibrio cholerae,0.00129,74,55,72.28
GCF_001887635.1,GCF_043756065.1,Vibrio cholerae,Vibrio cholerae,0.00109,73,54,71.36
GCF_001887635.1,GCF_043756335.1,Vibrio cholerae,Vibrio cholerae,0.00130,75,56,73.31
GCF_001887635.1,GCF_043757505.1,Vibrio cholerae,Vibrio cholerae,0.00134,71,0,69.46
GCF_001887635.1,GCF_043757815.1,Vibrio cholerae,Vibrio cholerae,0.00117,68,53,66.37
GCF_001887635.1,GCF_043758405.1,Vibrio cholerae,Vibrio cholerae,0.00124,73,54,71.36
GCF_001887635.1,GCF_043759795.1,Vibrio cholerae,Vibrio cholerae,0.00129,74,55,72.28
GCF_001887635.1,GCF_043760105.1,Vibrio cholerae,Vibrio cholerae,0.00130,73,58,71.36
GCF_001887635.1,GCF_043760675.1,Vibrio cholerae,Vibrio cholerae,0.00129,75,60,73.31
GCF_001887635.1,GCF_043762865.1,Vibrio cholerae,Vibrio cholerae,0.00132,71,56,69.46
GCF_001887635.1,GCF_043763295.1,Vibrio cholerae,Vibrio cholerae,0.00130,77,62,75.31
GCF_001887635.1,GCF_043763905.1,Vibrio cholerae,Vibrio cholerae,0.00145,52,37,50.38
GCF_001887635.1,GCF_043765735.1,Vibrio cholerae,Vibrio cholerae,0.00133,76,61,74.42
GCF_001887635.1,GCF_043766185.1,Vibrio cholerae,Vibrio cholerae,0.00108,72,53,70.29
GCF_001887635.1,GCF_043766955.1,Vibrio cholerae,Vibrio cholerae,0.00132,77,62,75.31
GCF_001887635.1,GCF_043769025.1,Vibrio cholerae,Vibrio cholerae,0.00094,74,55,72.28
GCF_001887635.1,GCF_044343075.1,Vibrio cholerae,Vibrio cholerae,0.00137,73,54,71.36
GCF_001887635.1,GCF_044343085.1,Vibrio cholerae,Vibrio cholerae,0.00142,73,54,71.36
GCF_001887635.1,GCF_044343165.1,Vibrio cholerae,Vibrio cholerae,0.00157,74,35,72.28
GCF_001887635.1,GCF_044905045.1,Vibrio cholerae,Vibrio cholerae,0.00247,60,50,58.24
GCF_001887635.1,GCF_044905055.1,Vibrio cholerae,Vibrio cholerae,0.00237,60,49,58.24
GCF_001887635.1,GCF_045689275.1,Vibrio cholerae,Vibrio cholerae,0.01864,13,10,11.43
GCF_001887635.1,GCF_045689325.1,Vibrio cholerae,Vibrio cholerae V52,0.00513,54,35,52.20
GCF_001887635.1,GCF_046736365.1,Vibrio cholerae,Vibrio cholerae C6706,0.00143,71,52,69.46
GCF_001887635.1,GCF_047221425.1,Vibrio cholerae,Vibrio cholerae,0.01735,10,7,8.35
GCF_001887635.1,GCF_047524955.2,Vibrio cholerae,Vibrio cholerae,0.00246,59,58,57.17
GCF_001887635.1,GCF_050500225.1,Vibrio cholerae,Vibrio cholerae,0.00174,60,50,58.24
GCF_001887635.1,GCF_051046905.1,Vibrio cholerae,Vibrio cholerae,0.01800,14,10,12.43
GCF_001887635.1,GCF_051903285.1,Vibrio cholerae,Vibrio cholerae,0.00510,41,23,39.32
GCF_001887635.1,GCF_051903295.1,Vibrio cholerae,Vibrio cholerae,0.00511,43,25,41.18
GCF_001887635.1,GCF_052271875.1,Vibrio cholerae,Vibrio cholerae,0.00511,45,26,43.23
GCF_001887635.1,GCF_052956585.1,Vibrio cholerae,Vibrio cholerae,0.00190,56,46,54.25
GCF_001887635.1,GCF_053202865.1,Vibrio cholerae,Vibrio cholerae,0.01912,15,12,13.29
GCF_001887635.1,GCF_053220475.1,Vibrio cholerae,Vibrio cholerae,0.01602,11,9,9.41
GCF_001887635.1,GCF_053220495.1,Vibrio cholerae,Vibrio cholerae,0.01728,11,10,9.41
GCF_001887635.1,GCF_053220515.1,Vibrio cholerae,Vibrio cholerae,0.01588,14,13,12.43
GCF_001887635.1,GCF_053220535.1,Vibrio cholerae,Vibrio cholerae,0.01739,13,8,11.43
GCF_001887635.1,GCF_053220555.1,Vibrio cholerae,Vibrio cholerae,0.01850,21,19,19.45
GCF_001887635.1,GCF_053220575.1,Vibrio cholerae,Vibrio cholerae,0.01851,21,19,19.45
GCF_001887635.1,GCF_053220615.1,Vibrio cholerae,Vibrio cholerae,0.01725,11,9,9.41
GCF_001887635.1,GCF_053220635.1,Vibrio cholerae,Vibrio cholerae,0.01661,16,14,14.40
GCF_001887635.1,GCF_053220655.1,Vibrio cholerae,Vibrio cholerae,0.01690,14,13,12.43
GCF_001887635.1,GCF_053220675.1,Vibrio cholerae,Vibrio cholerae,0.01650,16,13,14.40
GCF_001887635.1,GCF_053220715.1,Vibrio cholerae,Vibrio cholerae,0.01661,13,8,11.43
GCF_001887635.1,GCF_054906185.1,Vibrio cholerae,Vibrio cholerae,0.01637,15,13,13.29
GCF_001887635.1,GCF_055797365.1,Vibrio cholerae,Vibrio cholerae,0.01814,10,9,8.35
GCF_001887635.1,GCF_056770475.1,Vibrio cholerae,Vibrio cholerae,0.00245,60,50,58.24
GCF_001887635.1,GCF_056770485.1,Vibrio cholerae,Vibrio cholerae,0.00172,60,50,58.24
GCF_001887635.1,GCF_056770535.1,Vibrio cholerae,Vibrio cholerae,0.00275,60,50,58.24
GCF_001887635.1,GCF_056770545.1,Vibrio cholerae,Vibrio cholerae,0.00174,60,50,58.24
GCF_001887635.1,GCF_056770575.1,Vibrio cholerae,Vibrio cholerae,0.00172,60,50,58.24
GCF_001887635.1,GCF_900205735.1,Vibrio cholerae,Vibrio cholerae O1 biovar El Tor str. N16961,0.00108,73,54,71.36
GCF_001887635.1,GCF_900324425.1,Vibrio cholerae,Vibrio cholerae,0.00231,55,45,53.28
GCF_001887635.1,GCF_900324435.1,Vibrio cholerae,Vibrio cholerae,0.03339,13,12,11.43
GCF_001887635.1,GCF_900324445.1,Vibrio cholerae,Vibrio cholerae,0.00231,55,45,53.28
GCF_001887635.1,GCF_900324455.1,Vibrio cholerae,Vibrio cholerae,0.00231,55,45,53.28
GCF_001887635.1,GCF_900538065.1,Vibrio cholerae,Vibrio paracholerae,0.03519,13,10,11.43
GCF_001887635.1,GCF_937000105.1,Vibrio cholerae,Vibrio cholerae,0.00245,60,50,58.24
GCF_001887655.1,GCF_002073335.2,Vibrio cholerae,Vibrio cholerae,0.00058,98,0,96.19
GCF_001887655.1,GCF_002211985.1,Vibrio cholerae,Vibrio anguillarum,0.20293,10,8,8.35
GCF_001887655.1,GCF_002212025.1,Vibrio cholerae,Vibrio anguillarum,0.21090,13,10,11.43
GCF_001887655.1,GCF_002224265.1,Vibrio cholerae,Vibrio vulnificus NBRC 15645 = ATCC 27562,0.21416,10,9,8.35
GCF_001887655.1,GCF_002313025.1,Vibrio cholerae,Vibrio cholerae,0.01999,10,6,8.35
GCF_001887655.1,GCF_002749635.1,Vibrio cholerae,Vibrio cholerae,0.00079,99,0,97.33
GCF_001887655.1,GCF_002892855.1,Vibrio cholerae,Vibrio cholerae,0.00105,98,0,96.19
GCF_001887655.1,GCF_002946655.1,Vibrio cholerae,Vibrio cholerae O1 biovar El Tor,0.00131,81,73,79.34
GCF_001887655.1,GCF_002997215.1,Vibrio cholerae,Vibrio cholerae,0.00105,98,0,96.19
GCF_001887655.1,GCF_003063785.1,Vibrio cholerae,Vibrio cholerae,0.00059,98,0,96.19
GCF_001887655.1,GCF_003063885.1,Vibrio cholerae,Vibrio cholerae,0.01791,17,15,15.42
GCF_001887655.1,GCF_003097695.1,Vibrio cholerae,Vibrio cholerae,0.00106,98,0,96.19
GCF_001887655.1,GCF_003574155.1,Vibrio cholerae,Vibrio cholerae,0.00092,75,67,73.31
GCF_001887655.1,GCF_003591575.1,Vibrio cholerae,Vibrio cholerae,0.01848,10,4,8.35
GCF_001887655.1,GCF_003595585.1,Vibrio cholerae,Vibrio anguillarum,0.20360,10,9,8.35
GCF_001887655.1,GCF_003719755.1,Vibrio cholerae,Vibrio cholerae,0.00227,82,81,80.09
GCF_001887655.1,GCF_004328575.1,Vibrio cholerae,Vibrio cholerae,0.01512,20,17,18.30
GCF_001887655.1,GCF_008369605.1,Vibrio cholerae,Vibrio cholerae,0.01671,18,16,16.26
GCF_001887655.1,GCF_008693685.1,Vibrio cholerae,Vibrio vulnificus,0.21416,10,9,8.35
GCF_001887655.1,GCF_009646135.1,Vibrio cholerae,Vibrio cholerae O395,0.00582,62,23,60.11
GCF_001887655.1,GCF_009665195.1,Vibrio cholerae,Vibrio mimicus,0.10660,16,14,14.40
GCF_001887655.1,GCF_009665255.1,Vibrio cholerae,Vibrio metoecus,0.07915,10,8,8.35
GCF_001887655.1,GCF_009665275.1,Vibrio cholerae,Vibrio metoecus,0.08719,16,14,14.40
GCF_001887655.1,GCF_009762895.1,Vibrio cholerae,Vibrio cholerae,0.01780,12,11,10.26
GCF_001887655.1,GCF_009762915.1,Vibrio cholerae,Vibrio cholerae,0.01919,16,15,14.40
GCF_001887655.1,GCF_009762945.1,Vibrio cholerae,Vibrio cholerae,0.01760,15,13,13.29
GCF_001887655.1,GCF_009762965.1,Vibrio cholerae,Vibrio cholerae,0.01872,14,13,12.43
GCF_001887655.1,GCF_009762985.1,Vibrio cholerae,Vibrio cholerae,0.00269,69,15,67.28
GCF_001887655.1,GCF_009763065.1,Vibrio cholerae,Vibrio cholerae,0.01777,12,10,10.26
GCF_001887655.1,GCF_009763725.1,Vibrio cholerae,Vibrio navarrensis,0.19388,11,6,9.41
GCF_001887655.1,GCF_009763825.1,Vibrio cholerae,Vibrio cholerae,0.00206,77,69,75.31
GCF_001887655.1,GCF_009763865.1,Vibrio cholerae,Vibrio metoecus,0.08494,11,9,9.41
GCF_001887655.1,GCF_009763945.1,Vibrio cholerae,Vibrio cholerae C6706,0.00105,97,95,95.14
GCF_001887655.1,GCF_009764025.1,Vibrio cholerae,Vibrio mimicus,0.10774,13,11,11.43
GCF_001887655.1,GCF_009799825.1,Vibrio cholerae,Vibrio cholerae,0.00138,81,73,79.34
GCF_001887655.1,GCF_009938115.1,Vibrio cholerae,Vibrio cholerae O1,0.01053,40,17,38.23
GCF_001887655.1,GCF_013085075.1,Vibrio cholerae,Vibrio cholerae C6706,0.00106,97,0,95.14
