accession,species,cassettes,defence_systems
GCF_038070605.1,Vibrio parahaemolyticus,64,2
GCF_002119545.1,Vibrio alginolyticus,46,2
GCF_011212705.1,Vibrio coralliilyticus OCN008,53,2
GCF_050507685.1,Vibrio alginolyticus,61,2
GCF_029224045.1,Vibrio furnissii,74,2
GCF_057785975.1,Vibrio sp. QJM3NY_21,14,2
GCF_003613065.1,Vibrio alginolyticus,46,2
GCF_003312585.1,Vibrio campbellii,99,2
GCF_028898725.1,Vibrio harveyi,88,2
GCF_029958905.1,Vibrio sp. YMD68,94,2
GCF_057814595.1,Aliivibrio fischeri,54,2
GCF_039542195.1,Vibrio harveyi,88,2
GCF_000024825.1,Vibrio antiquarius,77,2
GCF_009665255.1,Vibrio metoecus,151,2
GCF_057730715.1,Aliivibrio fischeri,50,2
GCF_001558515.2,Vibrio vulnificus,303,2
GCF_057418855.1,Salinivibrio costicola,10,2
GCF_040315585.1,Vibrio metschnikovii,161,2
GCF_030388405.1,Vibrio harveyi,80,2
GCF_003119375.1,Vibrio parahaemolyticus,78,2
GCF_023650755.1,Vibrio sp. SCSIO 43097,148,2
GCF_002119505.2,Vibrio alginolyticus,46,2
GCF_009763765.1,Vibrio metschnikovii,39,2
GCF_044784405.1,Vibrio cholerae,49,2
GCF_031883075.1,Vibrio vulnificus,117,2
GCF_003345295.1,Vibrio splendidus,4,2
GCF_030059845.1,Vibrio parahaemolyticus,90,2
GCF_050815385.1,Vibrio harveyi,75,2
GCF_013357605.1,Vibrio cholerae,100,2
GCF_053220575.1,Vibrio cholerae,149,2
GCF_051175305.1,Vibrio scophthalmi,95,2
GCF_000196495.1,Aliivibrio salmonicida LFI1238,22,2
GCF_032463505.1,Vibrio alginolyticus,122,2
GCF_054053365.1,Vibrio coralliilyticus,31,2
GCF_046271895.1,Vibrio parahaemolyticus,68,2
GCF_022343085.1,Vibrio alginolyticus,35,2
GCF_057730835.1,Aliivibrio fischeri,66,2
GCF_059683725.1,Aliivibrio fischeri,47,2
GCF_054512795.1,Vibrio harveyi,97,2
GCF_019321785.1,Vibrio parahaemolyticus,134,2
GCF_009764095.1,Vibrio vulnificus,84,2
GCF_009883835.1,Vibrio parahaemolyticus,103,2
GCF_027924845.1,Vibrio nigripulchritudo,15,2
GCF_003391375.1,Vibrio coralliilyticus,31,2
GCF_003942025.1,Aliivibrio salmonicida,29,2
GCF_054112565.1,Vibrio metschnikovii,154,2
GCF_002119565.1,Vibrio alginolyticus,46,2
GCF_002119525.1,Vibrio syngnathi,3,2
GCF_000039765.1,Vibrio vulnificus CMCP6,202,2
GCF_053643215.1,Vibrio sp. NH-7,78,2
GCF_014083925.1,Vibrio spartinae,8,1
GCF_055389885.1,Vibrio cholerae,99,1
GCF_028743695.1,Vibrio alginolyticus,72,1
GCF_001879585.1,Vibrio parahaemolyticus,136,1
GCF_024347315.1,Vibrio atlanticus,0,1
GCF_030994065.1,Vibrio fluvialis,3,1
GCF_001687805.1,Vibrio scophthalmi,88,1
GCF_000011805.1,Aliivibrio fischeri ES114,30,1
GCF_001244315.1,Vibrio parahaemolyticus,124,1
GCF_009763045.1,Vibrio cholerae,99,1
GCF_022343145.1,Vibrio alginolyticus,67,1
GCF_000568495.1,Vibrio parahaemolyticus UCM-V493,112,1
GCF_001767355.1,Vibrio mimicus,90,1
GCF_024346795.1,Vibrio breoganii,1,1
GCF_002953535.1,Vibrio alginolyticus,148,1
GCF_001952955.1,Vibrio fluvialis,5,1
GCF_057368615.1,Aliivibrio logei,46,1
GCF_049816615.1,Vibrio owensii,89,1
GCF_009763925.1,Vibrio metschnikovii,141,1
GCF_000746665.1,Vibrio vulnificus,81,1
GCF_009938185.1,Vibrio taketomensis,3,1
GCF_009601765.2,Vibrio algicola,4,1
GCF_015097735.1,Vibrio nigripulchritudo,9,1
GCF_030563405.1,Vibrio sp. SNU_ST1,3,1
GCF_055699095.1,Vibrio campbellii,29,1
GCF_040805305.1,Vibrio cholerae,111,1
GCF_049821485.1,Vibrio tubiashii,26,1
GCF_010587385.1,Vibrio astriarenae,7,1
GCF_057439715.1,Vibrio owensii,51,1
GCF_057785995.1,Vibrio sp. QJM3NY_15,3,1
GCF_009763025.1,Vibrio parahaemolyticus,85,1
GCF_002211505.1,Vibrio anguillarum,84,1
GCF_045291255.1,Vibrio scophthalmi,35,1
GCF_049563345.1,Vibrio mytili,3,1
GCF_034480385.1,Vibrio fluvialis,3,1
GCF_027286365.1,Salinivibrio proteolyticus,6,1
GCF_002313025.1,Vibrio cholerae,120,1
GCF_048284855.2,Vibrio harveyi,75,1
GCF_024347635.1,Vibrio tasmaniensis,3,1
GCF_000801275.2,Vibrio nigripulchritudo,8,1
GCF_023195835.1,Vibrio sinaloensis,40,1
GCF_002873935.2,Vibrio cyclitrophicus,12,1
GCF_002157735.2,Vibrio aphrogenes,2,1
GCF_024442175.1,Vibrio campbellii,95,1
GCF_041950465.1,Vibrio alginolyticus,33,1
GCF_027924725.1,Vibrio nigripulchritudo,9,1
GCF_045004305.1,Vibrio campbellii,103,1
GCF_046097525.1,Vibrio cholerae,104,1
GCF_021610025.1,Vibrio anguillarum,84,1
GCF_026000495.1,Vibrio sp. STUT-A16,124,1
GCF_050888945.2,Vibrio parahaemolyticus,95,1
GCF_003399575.2,Vibrio anguillarum,84,1
GCF_027286325.1,Salinivibrio kushneri,4,1
GCF_003691545.1,Vibrio owensii,105,1
GCF_048300935.1,Vibrio scophthalmi,25,1
GCF_057418915.1,Salinivibrio costicola,6,1
GCF_058545285.1,Vibrio sp. KMM 9700,18,1
GCF_009762945.1,Vibrio cholerae,120,1
GCF_009763405.1,Vibrio parahaemolyticus,14,1
GCF_001679745.1,Vibrio alginolyticus,17,1
GCF_030316215.1,Vibrio furnissii,25,1
GCF_047549585.1,Vibrio europaeus,41,1
GCF_053220715.1,Vibrio cholerae,132,1
GCF_029203225.1,Vibrio alginolyticus,60,1
GCF_000462975.1,Vibrio anguillarum M3,81,1
GCF_056097205.1,Vibrio splendidus,3,1
GCF_041475595.1,Vibrio natriegens,30,1
GCF_028551255.1,Vibrio tubiashii,18,1
GCF_002196515.1,Vibrio gazogenes,7,1
GCF_009763885.1,Vibrio cincinnatiensis,205,1
GCF_057785915.1,Vibrio sp. QJM3NY_35,15,1
GCF_024442235.1,Vibrio campbellii,60,1
GCF_059641075.1,Vibrio coralliilyticus,32,1
GCF_002874845.2,Vibrio cyclitrophicus,21,1
GCF_000786425.1,Vibrio anguillarum,84,1
GCF_028885605.1,Vibrio harveyi,32,1
GCF_059725505.1,Vibrio sp. KUL78,2,1
GCF_021432065.1,Photobacterium sp. TLY01,2,1
GCF_024347595.1,Vibrio pomeroyi,2,1
GCF_002142655.1,Vibrio campbellii,64,1
GCF_009883815.1,Vibrio parahaemolyticus,70,1
GCF_024347295.1,Vibrio artabrorum,81,1
GCF_009763345.1,Vibrio furnissii,29,1
GCF_059983175.1,Vibrio harveyi,40,1
GCF_002287545.1,Vibrio anguillarum,87,1
GCF_057418905.1,Salinivibrio costicola,6,1
GCF_003031205.1,Vibrio anguillarum,83,1
GCF_018140575.1,Vibrio fluvialis,3,1
GCF_057439695.1,Vibrio owensii,54,1
GCF_033441435.1,Vibrio parahaemolyticus,94,1
GCF_024347655.1,Vibrio toranzoniae,127,1
GCF_014879975.1,Vibrio bathopelagicus,3,1
GCF_034480305.1,Vibrio alginolyticus,103,1
GCF_000091465.1,Vibrio atlanticus,10,1
GCF_009665395.1,Vibrio cincinnatiensis,170,1
GCF_053220655.1,Vibrio cholerae,135,1
GCF_001887055.1,Vibrio parahaemolyticus,124,1
GCF_025397955.1,Vibrio sp. J502,84,1
GCF_023221655.1,Vibrio crassostreae,6,1
GCF_007182835.1,Vibrio rotiferianus,63,1
GCF_024347475.1,Vibrio fortis,4,1
GCF_000217675.1,Vibrio anguillarum 775,81,1
GCF_009763725.1,Vibrio navarrensis,292,1
GCF_032841535.3,Vibrio cholerae,83,1
GCF_009763425.1,Vibrio parahaemolyticus,75,1
GCF_002953395.1,Vibrio diabolicus,53,1
GCF_030995125.1,Vibrio alginolyticus,139,1
GCF_040588515.1,Vibrio metschnikovii,168,1
GCF_020717785.1,Vibrio diabolicus,20,1
GCF_001680065.1,Vibrio natriegens,22,1
GCF_002117205.1,Vibrio vulnificus,129,1
GCF_040969975.1,Vibrio diabolicus,132,1
GCF_002216685.1,Vibrio tarriae,116,1
GCF_024347575.1,Vibrio pelagius,3,1
GCF_040235185.1,Vibrio metschnikovii,108,1
GCF_016812015.1,Vibrio diabolicus,12,1
GCF_021441885.1,Vibrio maritimus,8,1
GCF_002291265.1,Vibrio anguillarum,86,1
GCF_023151555.2,Photobacterium sp. CCB-ST2H9,23,1
GCF_023206035.1,Vibrio cyclitrophicus,7,1
GCF_000184325.1,Vibrio furnissii NCTC 11218,58,1
GCF_053220515.1,Vibrio cholerae,133,1
GCF_964198015.1,Vibrio splendidus,8,1
GCF_001456255.1,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,4,0
GCF_048537445.1,Photobacterium leiognathi subsp. mandapamensis,1,0
GCF_052591495.1,Vibrio harveyi,62,0
GCF_024347615.1,Vibrio splendidus,2,0
GCF_014775695.1,Photobacterium damselae subsp. piscicida,2,0
GCF_028621875.1,Photobacterium sp. GSS17,6,0
GCF_024494545.1,Photobacterium toruni,3,0
GCF_054110305.1,Vibrio natriegens,4,0
GCF_041879375.1,Vibrio kanaloae,30,0
GCF_059920555.1,Photobacterium panuliri,1,0
GCF_030297535.1,Vibrio fluvialis,7,0
GCF_051132395.1,Vibrio chagasii,8,0
GCF_017329545.1,Photobacterium ganghwense,1,0
GCF_058072945.1,Photobacterium leiognathi subsp. mandapamensis,1,0
GCF_035621455.1,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,4,0
GCF_002876425.2,Vibrio cyclitrophicus,8,0
GCF_905175385.1,Vibrio sp. B1FLJ16,14,0
GCF_059740915.1,Photobacterium damselae subsp. damselae,2,0
GCF_009763185.1,Vibrio fluvialis,2,0
GCF_034480175.1,Vibrio alginolyticus,6,0
GCF_059739285.1,Vibrio halioticoli,0,0
GCF_009763585.1,Grimontia hollisae,0,0
GCF_023746615.1,Grimontia kaedaensis,7,0
GCF_009764155.1,Grimontia hollisae,0,0
GCF_038452265.1,Vibrio diazotrophicus,24,0
GCF_058105105.1,Vibrio spartinae,2,0
GCF_000256265.3,Vibrio cyclitrophicus ZF14,6,0
GCF_009763785.1,Vibrio fluvialis,5,0
GCF_057418875.1,Salinivibrio kushneri,3,0
GCF_055808855.1,Vibrio sp. GJ41-3,3,0
GCF_040869025.1,Vibrio scophthalmi,47,0
GCF_002887615.1,Vibrio jasicida 090810c,57,0
GCF_027286345.1,Salinivibrio kushneri,6,0
GCF_046532705.1,Vibrio chagasii,5,0
GCF_024347335.1,Vibrio celticus,0,0
GCF_059704325.2,Grimontia sp. THUN1695,0,0
GCF_002873825.2,Vibrio cyclitrophicus,9,0
GCF_002873285.2,Vibrio cyclitrophicus,7,0
GCF_051858925.1,Salinivibrio costicola,1,0
GCF_024347435.1,Vibrio cyclitrophicus,4,0
GCF_028898665.1,Vibrio harveyi,9,0
GCF_052955985.1,Vibrio sp. B1Z05,3,0
GCF_009763465.1,Vibrio fluvialis,5,0
GCF_059739265.1,Vibrio superstes,4,0
GCF_054053395.1,Vibrio paucivorans,9,0
GCF_021768405.1,Photobacterium damselae subsp. damselae,1,0
GCF_002877465.2,Vibrio cyclitrophicus,4,0
GCF_002310335.1,Vibrio anguillarum,103,0
GCF_059725495.1,Vibrio sp. KUL80,1,0
GCF_057439745.1,Vibrio tubiashii,5,0
GCF_019226825.1,Vibrio ostreae,1,0
GCF_019977815.1,Vibrio penaeicida,47,0
GCF_053202905.1,Photobacterium damselae subsp. piscicida,2,0
GCF_059740845.1,Photobacterium damselae subsp. damselae,1,0
GCF_009708195.1,Vibrio sp. THAF191c,34,0
GCF_002874905.2,Vibrio cyclitrophicus,9,0
GCF_053903115.1,Vibrio sp. AK197,48,0
GCF_002218045.2,Vibrio rumoiensis,3,0
GCF_002163755.1,Vibrio campbellii CAIM 519 = NBRC 15631 = ATCC 25920,96,0
GCF_042245395.1,Vibrio iocasae,4,0
GCF_036825535.1,Parasalinivibrio latis,2,0
GCF_057786035.1,Enterovibrio sp. QJM3NY_24,2,0
GCF_019703835.1,Thaumasiovibrio subtropicus,1,0
GCF_048537525.1,Photobacterium leiognathi subsp. mandapamensis,1,0
GCF_000241385.1,Vibrio sp. EJY3,24,0
GCF_002953375.1,Vibrio fluvialis,1,0
GCF_019904195.1,Vibrio sp. SCSIO 43132,5,0
GCF_024347015.1,Vibrio pectenicida,1,0
GCF_009764195.1,Vibrio fluvialis,0,0
GCF_059683745.1,Vibrio campbellii,18,0
GCF_002796765.2,Vibrio fluvialis,7,0
GCF_002218025.2,Vibrio casei,1,0
GCF_060345765.1,Vibrio methylphosphonaticus,9,0
GCF_009938165.1,Vibrio taketomensis,3,0
GCF_024347035.1,Vibrio plantisponsor,10,0
GCF_011064285.1,Vibrio ziniensis,3,0
GCF_041879385.1,Vibrio kanaloae,30,0
GCF_057418885.1,Salinivibrio kushneri,2,0
GCF_014217295.1,Vibrio parahaemolyticus,52,0
GCF_001677275.1,Vibrio breoganii,1,0
GCF_024347375.1,Vibrio coralliirubri,3,0
GCF_055808915.1,Vibrio splendidus,5,0
GCF_023716585.1,Vibrio sp. SCSIO 43140,2,0
GCF_031884875.1,Vibrio ruber,3,0
GCF_030062095.1,Vibrio furnissii,5,0
GCF_023503985.1,Vibrio sp. J383,5,0
GCF_024347415.1,Vibrio crassostreae,6,0
GCF_027286385.1,Salinivibrio kushneri,6,0
GCF_037997135.1,Photobacterium damselae subsp. piscicida,1,0
GCF_019977795.1,Vibrio penaeicida,51,0
GCF_009665335.1,Vibrio furnissii,6,0
GCF_963681195.1,Vibrio sp. 16,48,0
GCF_002875465.2,Vibrio cyclitrophicus,12,0
GCF_009676865.1,Vibrio sp. THAF191d,34,0
GCF_937000115.1,Vibrio cholerae,94,0
GCF_001680085.1,Vibrio natriegens,18,0
GCF_022811945.1,Vibrio splendidus,6,0
GCF_016920955.1,Vibrio sp. sp1,16,0
GCF_002874035.2,Vibrio cyclitrophicus,4,0
GCF_013181325.1,Vibrio fluvialis,5,0
GCF_024347355.1,Vibrio chagasii,4,0
GCF_022832815.1,Vibrio natriegens,14,0
GCF_023920225.1,Vibrio gazogenes,3,0
GCF_011765565.1,Salinivibrio costicola,3,0
GCF_023716525.1,Vibrio sp. SCSIO 43009,60,0
GCF_024347135.1,Vibrio spartinae,3,0
GCF_002850295.1,Vibrio harveyi,8,0
GCF_053515815.1,Vibrio furnissii,14,0
GCF_057439755.1,Vibrio tubiashii,21,0
GCF_024529955.1,Photobacterium toruni,2,0
GCF_009363415.1,Vibrio aquimaris,1,0
GCF_024508015.1,Vibrio natriegens,4,0
GCF_058410825.1,Photobacterium damselae subsp. piscicida,2,0
GCF_022371215.1,Vibrio gigantis,1,0
GCF_019977835.1,Vibrio penaeicida,47,0
GCF_055391395.1,Vibrio sabulosilitoris,1,0
GCF_057418865.1,Salinivibrio kushneri,0,0
GCF_020806305.2,Vibrio sp. F13,5,0
GCF_023716565.1,Vibrio sp. SCSIO 43136,96,0
GCF_037746055.1,Vibrio natriegens,4,0
GCF_009665435.1,Vibrio alginolyticus,40,0
GCF_024347515.1,Vibrio gigantis,3,0
GCF_030169025.1,Photobacterium damselae,2,0
GCF_002953515.1,Vibrio alginolyticus,74,0
GCF_059725515.1,Vibrio sp. KUL70,0,0
GCF_024346755.1,Vibrio aerogenes,1,0
GCF_049315015.1,Photobacterium leiognathi subsp. mandapamensis,2,0
GCF_035758505.1,Grimontia sp. NTOU-MAR1,20,0
GCF_009363355.1,Vibrio sp. THAF190c,7,0
GCF_001680025.1,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,3,0
GCF_009762895.1,Vibrio cholerae,94,0
GCF_024220035.1,Vibrio furnissii,74,0
GCF_029910115.1,Vibrio lentus,2,0
GCF_015594925.2,Vibrio sp. VB16,1,0
GCF_004135105.1,Photobacterium damselae subsp. damselae,1,0
GCF_025398175.1,Photobacterium sp. TY1-4,0,0
GCF_051201655.1,Vibrio sp. nBUS_14,1,0
GCF_002875015.2,Vibrio cyclitrophicus,18,0
GCF_057785935.1,Vibrio sp. QJM3NY_34,1,0
GCF_048844225.1,Vibrio alginolyticus,0,0
GCF_030991385.1,Vibrio alginolyticus,6,0
GCF_004916735.1,Salinivibrio sp. YCSC6,2,0
GCF_002873745.2,Vibrio cyclitrophicus,10,0
GCF_026639315.1,Vibrio alginolyticus,1,0
GCF_025264605.1,Vibrio splendidus,2,0
GCF_040957575.1,Vibrio sp. HB236076,1,0
GCF_060497015.1,Vibrio fluvialis,4,0
GCF_024346675.1,Photobacterium sanguinicancri,12,0
GCF_000464435.1,Vibrio campbellii ATCC BAA-1116,0,0
GCF_057439805.1,Vibrio tubiashii,22,0
GCF_024347075.1,Vibrio rarus,2,0
GCF_001685465.1,Vibrio scophthalmi,81,0
GCF_026001925.1,Vibrio gangliei,16,0
GCF_005280275.1,Salinivibrio kushneri,7,0
GCF_049187005.1,Vibrio natriegens,4,0
GCF_028898925.1,Vibrio fluvialis,6,0
GCF_021768365.1,Photobacterium damselae subsp. damselae,1,0
GCF_029223585.1,Photobacterium sp. DA100,6,0
GCF_056234105.1,Photobacterium damselae subsp. piscicida,1,0
GCF_002906475.1,Vibrio campbellii,67,0
GCF_024346915.1,Vibrio gazogenes,3,0
GCF_029962385.1,Vibrio sp. ABG19,0,0
GCF_905175365.1,Vibrio sp. B1FLJ16,0,0
GCF_002872815.2,Vibrio cyclitrophicus,17,0
GCF_024362845.1,Vibrio pelagius,0,0
GCF_000017705.1,Vibrio campbellii ATCC BAA-1116,0,0
GCF_024347155.1,Vibrio zhugei,8,0
GCF_001558255.2,Grimontia hollisae,0,0
GCF_059641095.1,Vibrio coralliilyticus,17,0
GCF_045679545.1,Enterovibrio litoreus,23,0
GCF_003716875.1,Vibrio zhugei,8,0
GCF_057786005.1,Vibrio sp. QJM3NY_26,3,0
GCF_048537505.1,Photobacterium leiognathi subsp. mandapamensis,1,0
GCF_030991365.1,Vibrio alginolyticus,63,0
GCF_900233005.1,Vibrio tapetis subsp. tapetis,3,0
GCF_038442155.1,Vibrio cyclitrophicus ZF270,4,0
GCF_019977775.1,Vibrio penaeicida,51,0
GCF_000763535.1,Vibrio coralliilyticus,11,0
GCF_041879395.1,Vibrio cyclitrophicus,21,0
GCF_055808835.1,Vibrio sp. GJ43-1,73,0
GCF_002356235.1,Photobacterium damselae subsp. piscicida,1,0
GCF_055390995.1,Vibrio sabulosilitoris,1,0
GCF_038297345.1,Vibrio alginolyticus,63,0
GCF_056836685.1,Photobacterium damselae subsp. damselae,1,0
GCF_002874015.2,Vibrio cyclitrophicus,3,0
GCF_015654285.1,Vibrio europaeus,63,0
GCF_001558415.2,Vibrio fluvialis,2,0
GCF_009764215.1,Vibrio fluvialis,0,0
GCF_013154935.1,Vibrio europaeus,65,0
GCF_056234175.1,Photobacterium damselae subsp. piscicida,1,0
GCF_003443775.1,Vibrio sp. dhg,9,0
GCF_033947405.2,Vibrio fluvialis,2,0
GCF_001680045.1,Vibrio natriegens,3,0
GCF_057785895.1,Vibrio sp. QJM3NY_39,1,0
GCF_041879425.1,Vibrio pomeroyi,3,0
GCF_019977755.1,Vibrio penaeicida,51,0
GCF_030144385.1,Vibrio fluvialis,3,0
GCF_002142615.1,Photobacterium damselae subsp. damselae,1,0
GCF_021249365.1,Vibrio furnissii,32,0
GCF_011801455.1,Vibrio diabolicus,113,0
GCF_009363455.1,Vibrio sp. THAF64,34,0
GCF_023169825.1,Vibrio cholerae,95,0
GCF_041860215.1,Vibrio gazogenes,3,0
GCF_965140425.1,Photobacterium ganghwense,1,0
GCF_005144905.1,Vibrio cyclitrophicus,13,0
