family,n_genomes,n_species,n_proteins
GCF_041734175.1|NZ_CP168658.1|NZ_CP168658.1_918,4,1,6
GCF_041734175.1|NZ_CP168658.1|NZ_CP168658.1_919,2,2,2
GCF_041734175.1|NZ_CP168658.1|NZ_CP168658.1_924,1,1,1
GCF_041734175.1|NZ_CP168658.1|NZ_CP168658.1_931,2,2,2
GCF_041734175.1|NZ_CP168658.1|NZ_CP168658.1_941,2,2,2
GCF_041734175.1|NZ_CP168658.1|NZ_CP168658.1_950,1,1,1
GCF_041734175.1|NZ_CP168658.1|NZ_CP168658.1_954,18,5,207
GCF_041734175.1|NZ_CP168658.1|NZ_CP168658.1_961,11,5,11
GCF_041734175.1|NZ_CP168658.1|NZ_CP168658.1_968,1,1,1
GCF_041734175.1|NZ_CP168658.1|NZ_CP168658.1_971,3,2,3
GCF_042940635.1|NZ_CP134975.1|NZ_CP134975.1_1473,1,1,1
GCF_042940635.1|NZ_CP134975.1|NZ_CP134975.1_1478,1,1,1
GCF_042940635.1|NZ_CP134975.1|NZ_CP134975.1_1482,1,1,1
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1,1,1,1
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1150,1,1,1
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1153,2,2,2
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1155,1,1,1
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1156,1,1,1
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1161,8,8,11
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1170,1,1,4
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1177,1,1,1
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1184,1,1,1
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1186,3,3,3
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1187,2,2,2
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1201,1,1,1
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1202,2,2,2
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1203,2,2,2
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1208,2,2,2
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1214,1,1,1
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1221,1,1,2
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1222,1,1,1
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1228,1,1,1
GCF_042940635.1|NZ_CP134976.1|NZ_CP134976.1_1233,1,1,1
GCF_044905045.1|NZ_CP173270.1|NZ_CP173270.1_138,1,1,1
GCF_044905045.1|NZ_CP173270.1|NZ_CP173270.1_139,1,1,1
GCF_044905045.1|NZ_CP173270.1|NZ_CP173270.1_142,1,1,1
GCF_045004285.1|NZ_CP173385.1|NZ_CP173385.1_372,2,1,2
GCF_045004285.1|NZ_CP173385.1|NZ_CP173385.1_375,2,1,2
GCF_045004285.1|NZ_CP173385.1|NZ_CP173385.1_396,8,7,8
GCF_045004285.1|NZ_CP173385.1|NZ_CP173385.1_403,2,1,2
GCF_045004285.1|NZ_CP173385.1|NZ_CP173385.1_411,2,1,2
GCF_045004285.1|NZ_CP173385.1|NZ_CP173385.1_417,2,1,2
GCF_045004285.1|NZ_CP173385.1|NZ_CP173385.1_426,2,1,2
GCF_045004285.1|NZ_CP173385.1|NZ_CP173385.1_428,2,1,2
GCF_045004285.1|NZ_CP173385.1|NZ_CP173385.1_437,2,1,2
GCF_045004295.1|NZ_CP173391.1|NZ_CP173391.1_2585,2,2,2
GCF_045004295.1|NZ_CP173391.1|NZ_CP173391.1_2591,1,1,1
GCF_045004315.1|NZ_CP173387.1|NZ_CP173387.1_2560,1,1,1
GCF_045004315.1|NZ_CP173387.1|NZ_CP173387.1_2561,1,1,1
GCF_045004315.1|NZ_CP173387.1|NZ_CP173387.1_2566,2,2,2
GCF_045004315.1|NZ_CP173387.1|NZ_CP173387.1_2569,2,2,2
GCF_045004315.1|NZ_CP173387.1|NZ_CP173387.1_2572,5,4,5
GCF_045004315.1|NZ_CP173387.1|NZ_CP173387.1_2574,2,2,2
GCF_045004315.1|NZ_CP173387.1|NZ_CP173387.1_2583,1,1,1
GCF_045004315.1|NZ_CP173387.1|NZ_CP173387.1_2585,1,1,1
GCF_045004315.1|NZ_CP173387.1|NZ_CP173387.1_2586,1,1,1
GCF_045004315.1|NZ_CP173387.1|NZ_CP173387.1_2587,2,2,2
GCF_045004315.1|NZ_CP173387.1|NZ_CP173387.1_2594,2,1,2
GCF_045004315.1|NZ_CP173387.1|NZ_CP173387.1_2595,2,2,2
GCF_045004315.1|NZ_CP173387.1|NZ_CP173387.1_2598,3,3,3
GCF_045278325.1|NZ_CP128803.1|NZ_CP128803.1_1183,2,1,2
GCF_045278325.1|NZ_CP128803.1|NZ_CP128803.1_1185,1,1,1
GCF_045278325.1|NZ_CP128803.1|NZ_CP128803.1_1186,1,1,1
GCF_045278325.1|NZ_CP128803.1|NZ_CP128803.1_1193,1,1,1
GCF_045278325.1|NZ_CP128803.1|NZ_CP128803.1_1202,2,1,2
GCF_045278325.1|NZ_CP128803.1|NZ_CP128803.1_1206,1,1,1
GCF_045278325.1|NZ_CP128803.1|NZ_CP128803.1_1210,3,2,3
GCF_045278325.1|NZ_CP128803.1|NZ_CP128803.1_1213,1,1,1
GCF_045278325.1|NZ_CP128803.1|NZ_CP128803.1_1214,1,1,1
GCF_045278325.1|NZ_CP128803.1|NZ_CP128803.1_1216,1,1,1
GCF_045278325.1|NZ_CP128803.1|NZ_CP128803.1_1218,1,1,1
GCF_045278325.1|NZ_CP128803.1|NZ_CP128803.1_1219,1,1,1
GCF_045278325.1|NZ_CP128803.1|NZ_CP128803.1_1222,1,1,1
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1659,2,2,2
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1661,3,2,5
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1665,5,3,6
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1668,1,1,1
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1673,1,1,1
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1675,1,1,1
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1678,1,1,1
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1691,2,2,2
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1692,2,2,2
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1694,2,2,2
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1697,3,3,4
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1700,1,1,1
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1702,1,1,1
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1705,1,1,1
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1709,2,2,2
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1710,1,1,1
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1713,1,1,1
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1714,1,1,1
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1715,1,1,1
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1716,1,1,1
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1717,1,1,1
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1724,2,2,2
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1727,2,2,2
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1730,1,1,1
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1739,2,2,2
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1752,1,1,1
GCF_045586155.1|NZ_CP169050.1|NZ_CP169050.1_1754,1,1,1
GCF_045689275.1|NZ_CP137092.1|NZ_CP137092.1_889,1,1,2
GCF_045689325.1|NZ_CP137136.1|NZ_CP137136.1_258,3,3,3
GCF_045689325.1|NZ_CP137136.1|NZ_CP137136.1_259,3,3,3
GCF_045689325.1|NZ_CP137136.1|NZ_CP137136.1_264,3,3,3
GCF_045689325.1|NZ_CP137136.1|NZ_CP137136.1_276,1,1,1
GCF_045689325.1|NZ_CP137136.1|NZ_CP137136.1_277,1,1,1
GCF_046097525.1|NZ_CP175807.1|NZ_CP175807.1_388,1,1,1
GCF_046097525.1|NZ_CP175807.1|NZ_CP175807.1_389,1,1,1
GCF_046097525.1|NZ_CP175807.1|NZ_CP175807.1_424,1,1,1
GCF_046097525.1|NZ_CP175807.1|NZ_CP175807.1_432,1,1,1
GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2074,3,2,3
GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2081,2,1,2
GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2082,3,2,3
GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2084,3,2,3
GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2095,5,2,5
GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2102,3,2,3
GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2106,2,1,2
GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2117,2,1,2
GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2118,2,1,2
GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2125,2,1,2
GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2132,3,2,3
GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2133,2,1,2
GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2139,2,1,2
GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2144,2,1,2
GCF_046118655.1|NZ_CP176031.1|NZ_CP176031.1_2158,4,3,4
GCF_046532685.1|NZ_CP155084.1|NZ_CP155084.1_1935,1,1,1
GCF_046532695.1|NZ_CP151938.1|NZ_CP151938.1_1061,2,1,2
GCF_046532695.1|NZ_CP151938.1|NZ_CP151938.1_1077,1,1,1
GCF_046532695.1|NZ_CP151938.1|NZ_CP151938.1_1086,2,2,2
GCF_046532695.1|NZ_CP151938.1|NZ_CP151938.1_1093,1,1,1
GCF_046532695.1|NZ_CP151938.1|NZ_CP151938.1_1096,1,1,1
GCF_046532695.1|NZ_CP151938.1|NZ_CP151938.1_1098,1,1,1
GCF_046532695.1|NZ_CP151938.1|NZ_CP151938.1_1099,1,1,1
GCF_046532695.1|NZ_CP151938.1|NZ_CP151938.1_1100,2,1,2
GCF_046532695.1|NZ_CP151938.1|NZ_CP151938.1_1101,2,1,2
GCF_046532695.1|NZ_CP151938.1|NZ_CP151938.1_1103,1,1,1
GCF_046532695.1|NZ_CP151938.1|NZ_CP151938.1_1112,2,1,2
GCF_046532695.1|NZ_CP151938.1|NZ_CP151938.1_1113,2,1,2
GCF_046532695.1|NZ_CP151938.1|NZ_CP151938.1_1114,2,1,2
GCF_046532695.1|NZ_CP151938.1|NZ_CP151938.1_1125,2,1,2
GCF_046532695.1|NZ_CP151938.1|NZ_CP151938.1_1132,2,1,2
GCF_046532695.1|NZ_CP151938.1|NZ_CP151938.1_1134,2,1,2
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_840,1,1,1
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_841,1,1,1
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_842,2,2,2
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_851,5,5,5
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_852,3,3,3
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_853,1,1,1
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_854,1,1,1
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_856,2,2,2
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_857,2,2,4
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_858,1,1,1
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_865,2,2,2
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_867,1,1,1
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_868,2,2,2
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_869,1,1,1
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_870,1,1,1
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_878,1,1,1
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_880,10,6,10
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_881,2,2,3
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_899,23,12,95
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_900,1,1,1
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_901,1,1,1
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_903,2,2,2
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_908,2,2,2
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_918,1,1,4
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_919,1,1,1
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_925,2,2,2
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_927,1,1,1
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_930,2,2,2
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_933,2,2,2
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_936,2,2,2
GCF_046850195.1|NZ_CP133986.1|NZ_CP133986.1_938,1,1,8
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_706,19,9,20
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_713,3,3,3
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_719,1,1,1
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_721,1,1,1
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_723,2,2,2
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_726,1,1,1
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_742,21,7,87
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_748,1,1,1
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_769,18,5,19
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_770,1,1,1
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_776,2,2,2
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_780,1,1,1
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_782,1,1,1
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_788,1,1,1
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_791,10,5,12
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_792,4,3,4
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_795,1,1,1
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_796,2,2,2
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_797,2,2,2
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_800,1,1,1
GCF_049315005.1|NZ_CP186026.1|NZ_CP186026.1_801,1,1,1
GCF_049315015.1|NZ_CP186019.1|NZ_CP186019.1_1322,1,1,1
GCF_049315015.1|NZ_CP186019.1|NZ_CP186019.1_1323,1,1,1
GCF_049816615.1|NZ_CP187442.1|NZ_CP187442.1_1913,1,1,1
GCF_049816615.1|NZ_CP187442.1|NZ_CP187442.1_1918,1,1,1
GCF_049816615.1|NZ_CP187442.1|NZ_CP187442.1_1919,1,1,1
GCF_049816615.1|NZ_CP187442.1|NZ_CP187442.1_1920,4,3,4
GCF_049816615.1|NZ_CP187442.1|NZ_CP187442.1_1922,1,1,1
GCF_049816615.1|NZ_CP187442.1|NZ_CP187442.1_1938,3,3,3
GCF_049816615.1|NZ_CP187442.1|NZ_CP187442.1_1943,10,6,10
GCF_049816615.1|NZ_CP187442.1|NZ_CP187442.1_1947,1,1,2
GCF_049816615.1|NZ_CP187442.1|NZ_CP187442.1_1961,1,1,1
GCF_049816615.1|NZ_CP187442.1|NZ_CP187442.1_1962,1,1,1
GCF_049817095.1|NZ_CP187446.1|NZ_CP187446.1_2113,2,1,2
GCF_049817095.1|NZ_CP187446.1|NZ_CP187446.1_2114,2,1,2
GCF_049817095.1|NZ_CP187446.1|NZ_CP187446.1_2115,2,1,2
GCF_049817095.1|NZ_CP187446.1|NZ_CP187446.1_2121,2,1,2
GCF_049817095.1|NZ_CP187446.1|NZ_CP187446.1_2127,2,1,2
GCF_049817095.1|NZ_CP187446.1|NZ_CP187446.1_2128,3,2,3
GCF_049817095.1|NZ_CP187446.1|NZ_CP187446.1_2137,2,1,2
GCF_049817095.1|NZ_CP187446.1|NZ_CP187446.1_2145,2,1,2
GCF_049817095.1|NZ_CP187446.1|NZ_CP187446.1_2154,2,1,2
GCF_050815385.1|NZ_CP104016.1|NZ_CP104016.1_1935,2,2,2
GCF_050815385.1|NZ_CP104016.1|NZ_CP104016.1_1947,4,3,4
GCF_050815385.1|NZ_CP104016.1|NZ_CP104016.1_1949,2,2,2
GCF_050815385.1|NZ_CP104016.1|NZ_CP104016.1_1961,16,3,17
GCF_050815385.1|NZ_CP104016.1|NZ_CP104016.1_1964,1,1,1
GCF_050815385.1|NZ_CP104016.1|NZ_CP104016.1_1967,1,1,1
GCF_050815385.1|NZ_CP104016.1|NZ_CP104016.1_1980,1,1,1
GCF_050815385.1|NZ_CP104016.1|NZ_CP104016.1_1982,1,1,1
GCF_050815385.1|NZ_CP104016.1|NZ_CP104016.1_1985,1,1,1
GCF_050815385.1|NZ_CP104016.1|NZ_CP104016.1_1987,2,2,2
GCF_050815385.1|NZ_CP104019.1|NZ_CP104019.1_2,1,1,1
GCF_050815385.1|NZ_CP104019.1|NZ_CP104019.1_67,1,1,1
GCF_050815385.1|NZ_CP104019.1|NZ_CP104019.1_70,1,1,1
GCF_050888945.2|NZ_CP180435.1|NZ_CP180435.1_1136,2,1,2
GCF_050888945.2|NZ_CP180435.1|NZ_CP180435.1_1143,2,1,2
GCF_050888945.2|NZ_CP180435.1|NZ_CP180435.1_1147,3,1,3
GCF_050920685.1|NZ_CP138328.1|NZ_CP138328.1_1299,2,1,2
GCF_051046905.1|NZ_CP095332.1|NZ_CP095332.1_716,1,1,1
GCF_051046905.1|NZ_CP095332.1|NZ_CP095332.1_737,19,6,20
GCF_051046905.1|NZ_CP095332.1|NZ_CP095332.1_741,2,1,3
GCF_051046905.1|NZ_CP095332.1|NZ_CP095332.1_751,2,1,2
GCF_051046905.1|NZ_CP095332.1|NZ_CP095332.1_752,2,1,2
GCF_051046905.1|NZ_CP095332.1|NZ_CP095332.1_765,1,1,1
GCF_051046905.1|NZ_CP095332.1|NZ_CP095332.1_777,1,1,1
GCF_051046905.1|NZ_CP095332.1|NZ_CP095332.1_783,1,1,1
GCF_051046905.1|NZ_CP095332.1|NZ_CP095332.1_787,16,11,17
GCF_051046905.1|NZ_CP095332.1|NZ_CP095332.1_788,2,2,2
GCF_051046905.1|NZ_CP095332.1|NZ_CP095332.1_789,2,2,2
GCF_051046905.1|NZ_CP095332.1|NZ_CP095332.1_790,1,1,1
GCF_051046905.1|NZ_CP095332.1|NZ_CP095332.1_795,1,1,1
GCF_051046905.1|NZ_CP095332.1|NZ_CP095332.1_802,1,1,1
GCF_051046905.1|NZ_CP095332.1|NZ_CP095332.1_807,4,1,4
GCF_051131115.1|NZ_CP150876.1|NZ_CP150876.1_1864,3,2,3
GCF_051131115.1|NZ_CP150876.1|NZ_CP150876.1_1865,1,1,1
GCF_051131115.1|NZ_CP150876.1|NZ_CP150876.1_1868,1,1,1
GCF_051131115.1|NZ_CP150876.1|NZ_CP150876.1_1876,1,1,1
GCF_051131115.1|NZ_CP150876.1|NZ_CP150876.1_1879,1,1,1
GCF_051131115.1|NZ_CP150876.1|NZ_CP150876.1_1884,2,2,2
GCF_051131115.1|NZ_CP150876.1|NZ_CP150876.1_1886,2,2,2
GCF_051131115.1|NZ_CP150876.1|NZ_CP150876.1_1887,2,2,2
GCF_051131115.1|NZ_CP150876.1|NZ_CP150876.1_1888,2,2,2
GCF_051131125.1|NZ_CP150869.1|NZ_CP150869.1_1106,2,2,3
GCF_051131125.1|NZ_CP150869.1|NZ_CP150869.1_1120,2,2,2
GCF_051131125.1|NZ_CP150869.1|NZ_CP150869.1_1121,1,1,2
GCF_051131125.1|NZ_CP150869.1|NZ_CP150869.1_1123,2,2,2
GCF_051131125.1|NZ_CP150869.1|NZ_CP150869.1_1128,3,2,3
GCF_051131125.1|NZ_CP150869.1|NZ_CP150869.1_1129,2,2,2
GCF_051131125.1|NZ_CP150869.1|NZ_CP150869.1_1135,1,1,1
GCF_051131125.1|NZ_CP150869.1|NZ_CP150869.1_1136,1,1,1
GCF_051131125.1|NZ_CP150869.1|NZ_CP150869.1_1137,3,1,3
GCF_051131125.1|NZ_CP150869.1|NZ_CP150869.1_1139,2,1,2
GCF_051131125.1|NZ_CP150869.1|NZ_CP150869.1_1162,1,1,1
GCF_051131125.1|NZ_CP150869.1|NZ_CP150869.1_1163,1,1,1
GCF_051131125.1|NZ_CP150869.1|NZ_CP150869.1_1167,1,1,1
GCF_051131125.1|NZ_CP150869.1|NZ_CP150869.1_1169,1,1,1
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1816,2,2,2
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1818,2,2,2
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1819,2,2,2
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1831,23,4,28
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1835,1,1,1
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1847,2,2,2
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1851,1,1,1
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1857,1,1,1
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1861,2,2,2
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1864,1,1,1
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1870,4,2,5
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1874,2,2,2
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1875,2,2,2
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1876,1,1,1
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1877,6,5,6
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1879,1,1,1
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1880,1,1,1
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1882,2,2,2
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1887,2,2,2
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1900,1,1,1
GCF_051132235.1|NZ_CP072677.1|NZ_CP072677.1_1902,1,1,1
GCF_051132395.1|NZ_CP125666.1|NZ_CP125666.1_1322,2,2,2
GCF_051132395.1|NZ_CP125666.1|NZ_CP125666.1_1323,1,1,1
GCF_051132395.1|NZ_CP125665.1|NZ_CP125665.1_301,1,1,1
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_612,8,8,8
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_619,2,2,2
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_621,1,1,1
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_622,1,1,1
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_625,2,2,2
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_627,1,1,1
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_653,2,2,2
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_654,1,1,1
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_657,1,1,1
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_659,1,1,1
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_663,1,1,2
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_665,1,1,1
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_667,2,2,2
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_668,2,2,2
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_672,1,1,1
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_674,1,1,1
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_677,2,1,2
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_680,12,8,13
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_682,1,1,1
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_683,1,1,1
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_690,1,1,1
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_691,1,1,1
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_693,1,1,1
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_695,1,1,1
GCF_051175305.1|NZ_CP195090.1|NZ_CP195090.1_699,1,1,1
GCF_051201655.1|NZ_CP179206.1|NZ_CP179206.1_2413,1,1,1
GCF_052076115.1|NZ_CP197263.1|NZ_CP197263.1_1815,2,1,2
GCF_052076115.1|NZ_CP197263.1|NZ_CP197263.1_1816,2,1,2
GCF_052076115.1|NZ_CP197263.1|NZ_CP197263.1_1823,2,1,2
GCF_052076115.1|NZ_CP197263.1|NZ_CP197263.1_1861,2,1,2
GCF_052076115.1|NZ_CP197263.1|NZ_CP197263.1_1862,3,2,3
GCF_052076115.1|NZ_CP197263.1|NZ_CP197263.1_1864,3,2,3
GCF_052076115.1|NZ_CP197263.1|NZ_CP197263.1_1893,5,3,5
GCF_052076115.1|NZ_CP197263.1|NZ_CP197263.1_1895,3,2,3
GCF_052076115.1|NZ_CP197263.1|NZ_CP197263.1_1898,2,1,2
GCF_052076115.1|NZ_CP197263.1|NZ_CP197263.1_1899,2,1,2
GCF_052076115.1|NZ_CP197263.1|NZ_CP197263.1_1901,2,1,2
GCF_052076115.1|NZ_CP197263.1|NZ_CP197263.1_1903,2,1,2
GCF_052076115.1|NZ_CP197263.1|NZ_CP197263.1_1908,2,1,2
GCF_052076115.1|NZ_CP197263.1|NZ_CP197263.1_1914,2,1,2
GCF_052545415.1|NZ_CM127143.1|NZ_CM127143.1_313,5,4,6
GCF_052545415.1|NZ_CM127143.1|NZ_CM127143.1_319,2,1,2
GCF_052545415.1|NZ_CM127143.1|NZ_CM127143.1_323,1,1,1
GCF_052545415.1|NZ_CM127143.1|NZ_CM127143.1_324,1,1,1
GCF_052545415.1|NZ_CM127143.1|NZ_CM127143.1_325,1,1,1
GCF_052545415.1|NZ_CM127143.1|NZ_CM127143.1_328,3,1,3
GCF_052545415.1|NZ_CM127143.1|NZ_CM127143.1_331,3,2,3
GCF_052545415.1|NZ_CM127143.1|NZ_CM127143.1_334,6,1,6
GCF_052545415.1|NZ_CM127143.1|NZ_CM127143.1_339,2,1,2
GCF_052545415.1|NZ_CM127143.1|NZ_CM127143.1_340,1,1,1
